COVID-19 Vaccinations in the United States
Date generated: Sat Feb 13 2021 15:08:46 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271350,167436,37093,22888,118189,16156,48969,6694
Alabama,936200,571115,19094,11648,448071,9138,122019,2489
Arkansas,629900,447146,20873,14817,325562,10788,118465,3926
American Samoa,29450,15032,52883,26993,10057,18059,4968,8921
Arizona,1393475,990296,19145,13605,780057,10717,207912,2856
Bureau of Prisons,43775,45617,N/A,N/A,29060,0,16449,0
California,7963575,5341104,20155,13518,4222810,10687,1081040,2736
Colorado,1204800,844620,20921,14667,586187,10179,254037,4411
Connecticut,814525,626678,22846,17577,450204,12627,167894,4709
District of Columbia,193800,114110,27460,16169,80772,11445,33167,4700
Dept of Defense,1062500,701736,N/A,N/A,536578,0,154958,0
Delaware,188075,136591,19314,14027,108096,11101,27742,2849
Florida,4332100,3216044,20170,14974,2235645,10409,962465,4481
Federated States of Micronesia,30000,8751,28946,8443,8270,7979,453,437
Georgia,2017525,1273015,19002,11990,967179,9109,279546,2633
Guam,51300,35917,30947,21667,26699,16106,8955,5402
Hawaii,310200,208807,21909,14748,154828,10935,53976,3812
Iowa,590900,408578,18729,12950,299032,9478,104622,3316
Idaho,320800,214063,17951,11978,159796,8942,43231,2419
Indian Health Svc,679950,346969,N/A,N/A,251445,0,90005,0
Illinois,2481075,1674988,19579,13218,1294565,10216,348826,2753
Indiana,1360125,873568,20203,12976,659495,9796,213259,3168
Kansas,581975,350741,19976,12039,261332,8970,86597,2972
Kentucky,882400,636518,19751,14247,468357,10483,165324,3700
Louisiana,894850,701110,19249,15082,482025,10369,217681,4683
Massachusetts,1499450,962711,21755,13968,741746,10762,218795,3174
Maryland,1188700,778790,19662,12882,580112,9595,197848,3273
Maine,299375,193246,22271,14376,141778,10547,49721,3699
Marshall Islands,21000,5609,35951,9602,4980,8525,590,1010
Michigan,1896800,1465627,18993,14676,1023114,10245,425663,4262
Minnesota,1129850,787006,20034,13955,595334,10556,188872,3349
Missouri,1116475,717483,18191,11690,537256,8754,172953,2818
Northern Mariana Islands,29650,12971,52125,22803,8497,14938,4465,7850
Mississippi,609025,386333,20464,12981,296066,9948,89697,3014
Montana,194325,157695,18182,14755,115415,10799,41895,3920
North Carolina,1985050,1447413,18927,13801,1075646,10256,370032,3528
North Dakota,155375,139392,20389,18291,94160,12356,43276,5679
Nebraska,407500,259906,21066,13436,179502,9279,78835,4075
New Hampshire,298175,191114,21929,14055,135257,9947,55696,4096
New Jersey,1773525,1252742,19967,14104,941794,10603,305518,3440
New Mexico,429950,388806,20505,18543,272325,12987,111954,5339
Nevada,533800,394172,17330,12797,308611,10019,83485,2710
New York State,3870175,2712546,19894,13944,1907783,9807,721554,3709
Ohio,2293650,1540491,19622,13179,1162381,9944,375675,3214
Oklahoma,815675,640353,20614,16183,458056,11576,178566,4513
Oregon,840575,589035,19930,13966,434561,10303,152361,3612
Pennsylvania,2592850,1668862,20253,13036,1264215,9875,399610,3121
Puerto Rico,706600,336959,22125,10551,248934,7795,86660,2713
Rhode Island,211850,131913,19998,12452,91809,8666,40051,3781
Republic of Palau,9200,3871,51377,21617,3109,17362,762,4255
South Carolina,826950,649375,16061,12612,500005,9711,140806,2735
South Dakota,182025,148670,20576,16805,103076,11651,45505,5144
Tennessee,1331775,901616,19501,13202,618010,9050,279980,4100
Texas,5095175,3873581,17572,13359,2834361,9775,1036384,3574
Utah,579700,510267,18082,15916,307059,9578,105704,3297
Virginia,1590575,1274838,18635,14936,971199,11378,273106,3200
Veterans Health,2042525,1439337,N/A,N/A,1056801,0,381365,0
Virgin Islands,26425,11691,25244,11168,8404,8028,3287,3140
Vermont,138025,100036,22120,16032,68654,11002,31208,5001
Washington,1437825,1080510,18882,14189,819728,10765,247481,3250
Wisconsin,1080800,864476,18563,14847,664353,11410,190059,3264
West Virginia,387700,351427,21633,19609,230596,12867,120819,6742
Wyoming,122000,89138,21080,15402,65857,11379,23032,3980
