COVID-19 Vaccinations in the United States
Date generated: Mon Apr 26 2021 15:15:40 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,759125,103770,137632,539630,73766,528220,95768,300351,41.1,293410,53.2,248428,34,243918,44.2,381225,326300,51600,0,13754,241907,283892,77,108165,127403,12844,16,107943,123175,12784,16,235584,41.1,293410,53.2,32.2,231134,41.9,300351,70894,77.4,65550,71.6,37727,26363,1452,8,133306,145550,828848
Alabama,3960530,80775,103818,2471409,50404,2460766,64504,1546659,31.5,1537654,40.3,1062524,21.7,1060642,27.8,1976130,1740400,244000,0,72551,1176579,1222279,0,471089,517143,74240,52,471025,515359,74206,52,988284,31.5,1537654,40.3,20.2,986436,25.9,1546659,609812,71.8,478633,56.3,251680,204043,22876,34,1044726,122933,466034
Arkansas,2586420,85705,111597,1724751,57153,1709414,73756,1051126,34.8,1038627,44.8,724087,24,720887,31.1,1282320,1146200,157900,0,54575,812465,857279,432,329772,340970,53242,103,329615,338179,52992,101,670845,34.8,1038627,44.8,22.2,667895,28.8,1051126,380741,72.7,299916,57.2,172567,118662,8617,70,671809,128237,493703
American Samoa,47010,84415,108226,37590,67500,36362,83712,21165,38,20453,47.1,16553,29.7,16040,36.9,30810,15600,600,0,22,8581,28987,0,3772,12753,28,0,3762,12250,28,0,16525,38,20453,47.1,29.7,16012,36.9,21165,2428,25.6,2133,22.5,867,1260,6,0,4489,47417,496567
Arizona,6285415,86353,111474,4872521,66942,4815633,85407,2884396,39.6,2845193,50.5,1987117,27.3,1971704,35,3177915,2734700,372800,0,133114,2136842,2599816,2749,816678,1040944,128586,909,816539,1025754,128502,909,1858531,39.6,2845193,50.5,25.5,1843202,32.7,2884396,1025286,78.3,822467,62.8,400904,396470,24488,605,1897124,144970,480304
Bureau of Prisons,147940,N/A,N/A,142526,N/A,142525,N/A,83085,N/A,83084,N/A,60470,N/A,60470,N/A,84240,57100,6600,0,1739,56066,84721,0,23240,35503,1727,0,23240,35503,1727,0,58743,N/A,83084,N/A,0,58743,0,83085,2988,0,2528,0,1236,1262,30,0,5518,0,0
California,36101260,91367,117910,28798648,72885,28438087,92882,18487071,46.8,18191702,59.4,11201869,28.4,11134093,36.4,18526560,15315400,2259300,0,1079661,12757667,14958136,3184,4711590,5418843,1070747,689,4707098,5359224,1067083,688,10131122,46.8,18191702,59.4,25.6,10067010,32.9,18487071,5053028,86.6,3812372,65.3,1986959,1713714,111338,361,8827074,151197,618372
Colorado,4968480,86277,110430,4210710,73119,4157461,92404,2592016,45,2547696,56.6,1727477,30,1718034,38.2,2516280,2162000,290200,0,143286,1919477,2146841,1106,753486,832167,141510,314,752895,823860,140965,314,1585967,45,2547696,56.6,27.5,1577069,35.1,2592016,693712,82.3,601666,71.4,302855,286121,12556,134,1294872,153710,589792
Connecticut,3716115,104230,130948,3056088,85718,3021729,106480,1878986,52.7,1847361,65.1,1278901,35.9,1276520,45,1968915,1527400,219800,0,119312,1270157,1666372,247,512027,647382,119438,54,511774,645351,119341,54,1159463,52.7,1847361,65.1,32.5,1157179,40.8,1878986,563508,89.4,502417,79.7,196824,294396,11179,18,1066990,169298,589631
District of Columbia,780595,110605,135149,568011,80483,565982,97992,319465,45.3,317498,55,193477,27.4,192808,33.4,425295,310800,44500,0,20323,219497,328189,2,69454,99799,24196,28,69446,99154,24181,27,169281,45.3,317498,55,24,168627,29.2,319465,66584,76.2,51007,58.4,28017,21359,1622,9,144410,165337,893712
Dept of Defense,3547800,N/A,N/A,2772590,N/A,2755069,N/A,1721064,N/A,1706808,N/A,1035688,N/A,1032748,N/A,1903200,1475100,169500,0,63822,1236789,1471580,399,429980,544801,60907,0,429939,541920,60889,0,974781,N/A,1706808,N/A,0,971859,0,1721064,159400,0,108179,0,37685,67623,2871,0,273258,0,0
Delaware,903465,92781,117304,717216,73654,710413,92238,439329,45.1,434564,56.4,290409,29.8,289292,37.6,469365,383500,50600,0,33506,281954,401552,204,101248,156333,32739,89,101225,155263,32715,89,257670,45.1,434564,56.4,26.5,256577,33.3,439329,164270,87,135552,71.8,54840,73869,6787,56,301048,159364,478262
Florida,19584145,91183,113546,14462795,67339,14385205,83403,8637660,40.2,8567997,49.7,5831490,27.2,5824187,33.8,10142145,8098200,1343800,0,532128,6331667,7576419,22581,2412814,2884783,526531,7362,2412181,2878374,526270,7362,5304959,40.2,8567997,49.7,24.7,5297917,30.7,8637660,3741902,83.2,3058524,68,1531947,1394714,125986,5877,7080956,157448,435461
Federated States of Micronesia,63200,60979,78177,31220,30123,31203,38598,19342,18.7,19326,23.9,12033,11.6,12032,14.9,0,61600,1600,0,95,31125,0,0,11912,23,98,0,11911,23,98,0,11935,18.7,19326,23.9,11.5,11934,14.8,19342,1734,9.8,1223,6.9,1191,5,27,0,2904,16482,358704
Georgia,8793835,82825,108385,5924273,55798,5867963,72323,3594066,33.9,3548840,43.7,2331518,22,2320370,28.6,4573335,3722600,497900,0,139971,2692827,3091144,331,1054082,1140255,136956,225,1053927,1129469,136751,223,2194562,33.9,3548840,43.7,20.7,2183619,26.9,3594066,1142171,75.3,929699,61.3,526728,385110,17728,133,2134913,140737,579703
Guam,140740,84902,108848,122331,73797,119803,92656,73290,44.2,71359,55.2,49463,29.8,48868,37.8,76440,53200,11100,0,1208,47533,73590,0,19332,28918,1213,0,19329,28326,1213,0,48250,44.2,71359,55.2,29.1,47655,36.9,73290,13537,48,11432,40.6,4828,6505,99,0,25032,88826,499414
Hawaii,1370040,96763,122763,1155796,81631,1145267,102622,706055,49.9,696559,62.4,473499,33.4,471846,42.3,735540,564500,70000,0,19814,396142,646080,93760,160373,274802,20258,18066,160257,273351,20189,18049,453241,49.9,696559,62.4,32,451657,40.5,706055,224667,83.7,179012,66.7,71755,101430,4418,1409,397900,148222,510356
Iowa,2664745,84459,109740,2277047,72171,2258987,93030,1355221,43,1340379,55.2,1000402,31.7,997261,41.1,1328145,1174200,162400,0,90105,1061122,1125698,122,458078,453433,88845,46,458029,450382,88804,46,911557,43,1340379,55.2,28.9,908457,37.4,1355221,468052,84.6,426991,77.2,229808,189845,7303,35,892107,161335,481911
Idaho,1386985,77612,103594,1043295,58380,1043255,77921,595128,33.3,595040,44.4,459853,25.7,459822,34.3,710385,593500,83100,0,30405,466972,545450,468,196943,232484,30287,139,196940,232466,30277,139,429566,33.3,595040,44.4,24,429545,32.1,595128,220492,75.9,199864,68.8,93538,99682,6583,61,418964,144137,477168
Indian Health Svc,1673335,80340,N/A,1214809,58325,1188316,N/A,705344,33.9,688723,N/A,521345,25,511511,N/A,700635,899700,73000,0,19393,680183,515233,0,280459,221641,19245,0,280304,211992,19215,0,502100,33.9,688723,N/A,24.1,492296,0,705344,143794,0,113353,0,65086,46235,2032,0,258081,0,0
Illinois,11286585,89068,114539,9011738,71116,8918004,90502,5679905,44.8,5598025,56.8,3619026,28.6,3602943,36.6,5834985,4742400,709200,0,304462,3887616,4814974,4686,1486259,1826175,305027,1565,1485087,1812498,303797,1561,3313999,44.8,5598025,56.8,26.2,3299146,33.5,5679905,1697920,83.1,1304206,63.8,610292,647043,45905,966,2957825,144762,552389
Indiana,5220380,77543,101087,3956117,58764,3930214,76104,2351172,34.9,2329456,45.1,1684341,25,1682278,32.6,2680080,2203000,337300,0,124013,1677070,2147593,7441,683214,875921,122756,2450,683159,873979,122691,2449,1561585,34.9,2329456,45.1,23.2,1559587,30.2,2351172,842101,77.6,766729,70.6,385504,364523,15078,1624,1617601,148986,480812
Kansas,2576035,88423,116401,1956276,67150,1939925,87658,1219082,41.8,1204802,54.4,871618,29.9,867337,39.2,1277835,1155100,143100,0,56853,908519,990395,509,390336,423786,57351,145,390278,419598,57316,145,814267,41.8,1204802,54.4,27.9,810021,36.6,1219082,415704,87.4,341328,71.8,166758,163976,10512,82,727219,152942,541768
Kentucky,3747885,83889,108170,3039150,68025,3016238,87054,1796865,40.2,1779540,51.4,1355086,30.3,1349970,39,1895985,1630400,221500,0,106361,1376356,1556140,293,584556,666604,103704,222,584484,661611,103654,221,1251382,40.2,1779540,51.4,28,1246316,36,1796865,599787,79.9,510954,68.1,231631,254180,25007,136,1069985,142557,499342
Louisiana,3612910,77717,101453,2648411,56970,2632870,73933,1479847,31.8,1469281,41.3,1196740,25.7,1191912,33.5,1836510,1554000,222400,0,90646,1223224,1333574,967,512703,596599,86958,480,512620,591924,86889,479,1109782,31.8,1469281,41.3,23.9,1105023,31,1479847,549111,74.1,499449,67.4,234544,248995,15813,97,1055265,142407,487558
Massachusetts,6771230,98241,122231,5776781,83813,5717717,103213,3657935,53.1,3608589,65.1,2306492,33.5,2296114,41.4,3489330,2905900,376000,0,210727,2504302,3061663,89,967602,1127460,211414,16,967081,1118197,210820,16,2095078,53.1,3608589,65.1,30.4,2085294,37.6,3657935,1057245,90.4,884925,75.7,406036,425732,53147,10,1888462,161499,579068
Maryland,5544960,91718,117703,4525719,74859,4478372,95062,2800331,46.3,2760861,58.6,1916292,31.7,1909047,40.5,2934360,2299000,311600,0,184645,1955436,2382791,2847,785725,950909,178847,811,785632,943851,178755,809,1737445,46.3,2760861,58.6,28.7,1730292,36.7,2800331,799462,83.3,695462,72.5,341754,314830,38518,360,1442380,150343,577964
Maine,1265690,94159,115549,1107231,82370,1100038,100426,699048,52,692165,63.2,486986,36.2,486621,44.4,636090,549400,80200,0,70232,490360,546516,123,198381,218396,70176,33,198355,218089,70149,28,416810,52,692165,63.2,31,416472,38,699048,255800,89.7,232475,81.5,105271,109858,17334,12,468580,164261,443689
Marshall Islands,51300,87823,112594,25394,43473,25350,55638,14074,24.1,14037,30.8,11326,19.4,11317,24.8,0,40500,10800,0,35,25359,0,0,11284,3,39,0,11275,3,39,0,11287,24.1,14037,30.8,19.3,11278,24.8,14074,897,9,745,7.5,742,0,3,0,1639,16506,516616
Michigan,8738230,87497,111415,6769798,67787,6706081,85505,4114799,41.2,4059677,51.8,2963747,29.7,2953916,37.7,4483830,3733700,520700,0,227472,2968988,3572087,1251,1264970,1466585,231693,499,1264778,1457065,231576,497,2732054,41.2,4059677,51.8,27.4,2722340,34.7,4114799,1384525,78.4,1229535,69.6,621179,563197,44818,341,2541910,143985,494971
Minnesota,4634790,82182,106879,4118735,73032,4079508,94074,2533687,44.9,2500899,57.7,1804481,32,1797525,41.5,2414490,1952700,267600,0,194643,1773378,2150480,234,731535,876059,196827,60,731415,869352,196698,60,1607654,44.9,2500899,57.7,28.5,1600827,36.9,2533687,798118,86.7,721506,78.4,306245,377526,37710,25,1465548,159233,503572
Missouri,5095385,83022,106892,3805156,61999,3778394,79264,2230728,36.3,2209405,46.3,1584164,25.8,1580489,33.2,2691585,2127700,276100,0,119414,1515660,2169740,342,614603,849449,120058,54,614495,845993,119948,53,1464106,36.3,2209405,46.3,23.9,1460541,30.6,2230728,787393,74.1,669021,63,306148,338374,24476,23,1471183,138525,479775
Northern Mariana Islands,62910,110597,141791,38337,67397,37726,85030,21548,37.9,21109,47.6,16829,29.6,16657,37.5,42510,17800,2600,0,43,5074,33220,0,2230,14552,47,0,2230,14380,47,0,16782,37.9,21109,47.6,29.5,16610,37.4,21548,2408,24.9,2248,23.2,341,1868,39,0,4619,47766,650569
Mississippi,2381005,80003,104542,1520594,51093,1513878,66469,898809,30.2,893793,39.2,664261,22.3,662506,29.1,1173705,1056300,151000,0,44876,736073,738785,860,315194,305170,43873,24,315139,303507,43836,24,620388,30.2,893793,39.2,20.8,618670,27.2,898809,347669,71.4,290629,59.7,155071,123579,11971,8,620979,127592,489221
Montana,963855,90183,114719,732282,68516,725239,86318,426757,39.9,421692,50.2,324791,30.4,322862,38.4,469755,433000,61100,0,21805,351262,359029,186,152195,151147,21392,57,152144,149283,21378,57,303399,39.9,421692,50.2,28.4,301484,35.9,426757,159612,77.3,141031,68.3,68653,67215,5130,33,294367,142594,466900
North Carolina,9241800,88117,112879,6727991,64149,6657310,81312,4011726,38.3,3957092,48.3,2871480,27.4,2854999,34.9,4816500,3881400,543900,0,234594,2820339,3672729,329,1138566,1501703,231179,32,1137736,1486855,230376,32,2640301,38.3,3957092,48.3,25.2,2624623,32.1,4011726,1338565,76.4,1156206,66,547011,584224,24948,23,2517031,143740,527773
North Dakota,626540,82216,107673,551267,72339,545973,93827,295375,38.8,292116,50.2,242962,31.9,241336,41.5,310440,284500,31600,0,21649,243089,286529,0,103633,120260,19068,1,103562,118774,18999,1,223894,38.8,292116,50.2,29.4,222337,38.2,295375,96723,80.7,84425,70.4,41798,39876,2751,0,186498,155616,522792
Nebraska,1690180,87375,115898,1346051,69585,1334843,91532,813693,42.1,804015,55.1,579206,29.9,577555,39.6,878280,715300,96600,0,51771,578840,713122,2318,239519,287141,51895,651,239466,285570,51868,651,527311,42.1,804015,55.1,27.3,525687,36,813693,259955,83.2,233177,74.6,113040,115982,3673,482,495616,158618,540930
New Hampshire,1227615,90285,111151,1127251,82904,1117973,101224,807390,59.4,799183,72.4,400117,29.4,399180,36.1,607815,537000,82800,0,50113,488115,588996,27,178068,170781,51255,13,177922,170013,51232,13,348862,59.4,799183,72.4,25.7,347948,31.5,807390,289509,99.9,182959,72.1,82442,88526,11983,8,449028,176877,483572
New Jersey,7963795,89660,114692,6908470,77779,6838643,98488,4402662,49.6,4347591,62.6,2974166,33.5,2958542,42.6,4192695,3325800,445300,0,269279,3031665,3607051,475,1227711,1474993,271439,23,1227546,1459644,271332,20,2702727,49.6,4347591,62.6,30.4,2687210,38.7,4402662,1243133,84.2,1014180,68.7,474730,476874,62564,12,2148719,145623,539723
New Mexico,1999255,95347,123335,1739923,82979,1717332,105943,1046951,49.9,1029087,63.5,745059,35.5,738402,45.6,1011855,863000,124400,0,45820,775690,916257,2156,308065,391405,44994,595,307904,384988,44915,595,700065,49.9,1029087,63.5,33.4,693487,42.8,1046951,323160,85.6,262361,69.5,119956,129653,12388,364,567912,150398,529455
Nevada,2396080,77791,100359,1966545,63846,1951925,81755,1183949,38.4,1171015,49,808503,26.2,806929,33.8,1244880,1004300,146900,0,71009,830508,1065028,0,328278,410030,70190,5,328242,408510,70172,5,738313,38.4,1171015,49,24,736757,30.9,1183949,376790,76,317098,63.9,151867,150754,14473,4,697843,140702,483108
New York State,17625975,90605,114267,14732987,75734,14612223,94729,8885577,45.7,8783499,56.9,6185368,31.8,6166517,40,9210825,7463000,952150,0,580365,6400726,7749242,2654,2563637,3054577,566615,539,2563235,3036416,566330,536,5618753,45.7,8783499,56.9,28.9,5600187,36.3,8885577,2528009,76.7,2133616,64.7,1035246,983180,114887,303,4568104,138589,534745
Ohio,10062385,86083,110441,8002870,68464,7926738,87001,4610653,39.4,4551688,50,3520097,30.1,3504381,38.5,5351385,4176500,534500,0,288641,3465630,4241469,7130,1455020,1784142,278831,2104,1454910,1768647,278729,2095,3241266,39.4,4551688,50,27.7,3225652,35.4,4610653,1602340,78.3,1445679,70.6,664945,721172,58311,1251,3034594,148295,491731
Oklahoma,3699765,93500,123131,2616439,66122,2589990,86197,1503524,38,1486330,49.5,1127304,28.5,1118659,37.2,1888965,1618100,192700,0,68391,1213824,1334190,34,499610,560012,67661,21,499496,551516,67626,21,1059643,38,1486330,49.5,26.8,1051033,35,1503524,504341,79.4,419176,66,219936,186930,12304,6,920887,144991,582519
Oregon,3557915,84356,106169,2874447,68151,2849813,85039,1781648,42.2,1761319,52.6,1195669,28.3,1190898,35.5,1781715,1549600,226600,0,94146,1276370,1502399,1532,515686,586608,93110,265,515323,582470,92842,263,1102559,42.2,1761319,52.6,26.1,1098056,32.8,1781648,604874,79,531005,69.3,242149,256758,31956,142,1097069,143206,464431
Pennsylvania,11822805,92351,116282,9527786,74424,9465796,93100,6058101,47.3,6005684,59.1,3828493,29.9,3817942,37.6,5974605,4998700,849500,0,330066,4095679,5101795,246,1523669,1968950,335679,195,1523269,1958953,335527,193,3492814,47.3,6005684,59.1,27.3,3482415,34.3,6058101,2179374,91.1,1573714,65.8,729756,797702,46139,117,3715623,155247,493983
Puerto Rico,2970670,93017,113343,1759828,55103,1750385,66784,1118574,35,1109087,42.3,720029,22.5,719620,27.5,1494870,1289400,186400,0,62371,700964,996222,271,262777,394830,62410,12,262740,394531,62337,12,657619,35,1109087,42.3,20.6,657283,25.1,1118574,383239,70.6,302209,55.7,141009,151092,10105,3,671721,123722,547157
Rhode Island,1065185,100550,124603,859098,81096,851956,99660,528807,49.9,522617,61.1,362965,34.3,362119,42.4,562185,449300,53700,0,37837,366089,455148,24,146170,179184,37607,4,146161,178361,37593,4,325358,49.9,522617,61.1,30.7,324526,38,528807,168778,90.2,152271,81.4,70797,76635,4837,2,316881,169413,569478
Republic of Palau,24600,137376,176129,19312,107846,19312,138269,11669,65.2,11669,83.5,8001,44.7,8001,57.3,0,20800,3800,0,197,19114,1,0,7789,15,197,0,7789,15,197,0,7804,65.2,11669,83.5,43.6,7804,55.9,11669,1543,50.7,1441,47.3,1342,8,91,0,2852,93693,808147
South Carolina,4313565,83779,106837,3094536,60103,3072022,76087,1831607,35.6,1813720,44.9,1312372,25.5,1307716,32.4,2290665,1765900,257000,0,96512,1230656,1766313,1055,475961,742221,93983,207,475747,737979,93783,207,1218389,35.6,1813720,44.9,23.7,1213933,30.1,1831607,742962,79.3,619230,66.1,258009,343269,17811,141,1348605,143924,460348
South Dakota,859215,97124,128710,676863,76511,670774,100482,390725,44.2,386065,57.8,306537,34.7,305089,45.7,408915,397000,53300,0,18133,313096,345621,13,138441,149888,18200,8,138411,148477,18193,8,288337,44.2,386065,57.8,32.6,286896,43,390725,133885,88.2,122043,80.4,63300,56185,2553,5,250499,164942,565753
Tennessee,5396000,79014,101445,3855241,56453,3829910,72003,2286642,33.5,2266753,42.6,1574802,23.1,1569654,29.5,2784600,2284900,326500,0,107580,1697333,2045089,5239,672009,796296,104968,1529,671887,791391,104849,1527,1469834,33.5,2266753,42.6,21.5,1464805,27.5,2286642,830357,72.6,681870,59.6,350518,311321,19060,971,1533947,134157,471929
Texas,23721275,81809,109841,17979089,62006,17764658,82259,10747645,37.1,10616582,49.2,7267787,25.1,7179160,33.2,12313275,9824000,1584000,0,640388,7920165,9417836,700,3040001,3599843,627387,556,3002929,3555944,619736,549,6641915,37.1,10616582,49.2,22.9,6560920,30.4,10747645,2888967,77.4,2398370,64.2,1003200,1187948,207038,183,5232845,140132,635239
Utah,2367860,73858,104092,2035664,63496,2003670,88082,1218407,38,1192717,52.4,705617,22,699860,30.8,1191060,1039000,137800,0,84049,883730,1067885,0,279600,345056,80961,0,279502,339488,80870,0,624656,38,1192717,52.4,19.5,618990,27.2,1218407,304100,83.1,201271,55,87802,103204,10265,0,566111,154729,647183
Virginia,7521285,88117,112684,6271814,73479,6201337,92909,3858089,45.2,3801142,56.9,2592303,30.4,2578165,38.6,3920085,3186600,414600,0,214546,2639077,3416432,1759,1048121,1330155,213482,545,1047178,1317575,212868,544,2378821,45.2,3801142,56.9,27.9,2365297,35.4,3858089,1120331,82.4,942573,69.4,452795,442089,47339,350,2024061,148948,553481
Veterans Health,6205925,N/A,N/A,4833311,N/A,4832845,N/A,2652515,N/A,2652139,N/A,2293610,N/A,2293505,N/A,2729025,2956700,520200,0,114921,2530140,2188248,2,1161766,1016988,114855,1,1161745,1016920,114839,1,2178755,N/A,2652139,N/A,0,2178666,0,2652515,1424932,0,1313473,0,734972,538892,39608,1,2699316,0,0
Virgin Islands,65880,62935,80686,59582,56918,58999,72258,32613,31.2,32281,39.5,24718,23.6,24520,30,43680,21500,700,0,302,19740,39540,0,8423,15978,317,0,8416,15787,317,0,24401,31.2,32281,39.5,23.3,24203,29.6,32613,10985,61.7,8856,49.8,3735,4988,133,0,19837,111469,370196
Vermont,633640,101547,124247,525641,84239,522795,102512,322109,51.6,319895,62.7,217157,34.8,216526,42.5,306540,286900,40200,0,23725,235049,266347,520,88350,105250,23379,178,88334,104653,23361,178,193778,51.6,319895,62.7,31.1,193165,37.9,322109,118124,94.5,102686,82.1,49736,52274,558,118,225850,180624,506754
Washington,6667750,87562,112029,5486098,72044,5440431,91408,3348424,44,3311611,55.6,2290249,30.1,2281666,38.3,3363750,2910400,393600,0,193546,2362905,2926205,3442,933037,1162697,193694,821,932890,1154359,193596,821,2096555,44,3311611,55.6,27.5,2088070,35.1,3348424,1021581,84.4,915714,75.7,420183,458147,36822,562,1918804,158615,551180
Wisconsin,5004705,85956,109853,4457053,76550,4411190,96825,2596952,44.6,2561695,56.2,1928609,33.1,1919893,42.1,2499705,2221700,283300,0,169900,1918710,2367986,457,782328,982453,163632,196,782207,973944,163547,195,1764977,44.6,2561695,56.2,30.3,1756346,38.6,2596952,874426,86,804331,79.1,394285,393678,16285,83,1703150,167428,491987
West Virginia,1624925,90669,113426,1139101,63561,1126003,78600,632161,35.3,623383,43.5,518956,29,514925,35.9,782925,746500,95500,0,19032,548321,571748,0,241140,257869,19884,63,241037,253966,19859,63,499072,35.3,623383,43.5,27.8,495066,34.6,632161,257257,70.1,230203,62.7,118649,108240,3273,41,485357,132246,442746
Wyoming,476085,82260,106979,341127,58941,339105,76199,192439,33.3,190933,42.9,150517,26,150067,33.7,215085,229600,31400,0,11249,165403,164300,175,68668,71265,10556,28,68662,70825,10552,28,139961,33.3,190933,42.9,24.2,139515,31.3,192439,71978,72.6,64789,65.3,33636,29435,1705,13,135332,136452,480026
