COVID-19 Vaccinations in the United States
Date generated: Mon May 03 2021 15:13:53 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,769205,105148,139459,562442,76884,549541,99634,308462,42.2,301038,54.6,263330,36,257814,46.7,385905,330100,53200,0,14791,251568,296006,77,114428,135150,13733,19,114169,129956,13670,19,249597,42.2,301038,54.6,34.1,244144,44.3,308462,71518,78.1,66541,72.7,38192,26789,1550,10,134812,147194,839853
Alabama,4130550,84242,108275,2622717,53490,2609013,68390,1601433,32.7,1591056,41.7,1165479,23.8,1161865,30.5,2065050,1815200,250300,0,74988,1251548,1296181,0,519137,569551,76731,60,519047,566062,76696,60,1088748,32.7,1591056,41.7,22.2,1085169,28.4,1601433,619725,72.9,502055,59.1,264924,213575,23517,39,1077044,126735,486040
Arkansas,2644650,87635,114109,1824158,60447,1804809,77872,1081910,35.9,1067892,46.1,788238,26.1,782555,33.8,1316250,1168200,160200,0,55414,861750,906540,454,359212,374835,54083,108,358962,369660,53827,106,734155,35.9,1067892,46.1,24.3,728728,31.4,1081910,384883,73.5,309535,59.1,178271,122411,8778,75,687496,131231,504818
American Samoa,54030,97021,124387,38743,69570,37454,86226,21732,39,20984,48.3,17142,30.8,16604,38.2,37830,15600,600,0,22,8710,30011,0,3808,13305,29,0,3798,12777,29,0,17113,39,20984,48.3,30.7,16575,38.2,21732,2455,25.9,2163,22.8,867,1290,6,0,4548,48041,570719
Arizona,6652295,91394,117980,5162655,70928,5092972,90325,2997499,41.2,2953185,52.4,2163427,29.7,2140453,38,3358095,2912700,381500,0,138913,2265703,2754938,3101,888901,1139468,134035,1023,888743,1116739,133949,1022,2029392,41.2,2953185,52.4,27.9,2006504,35.6,2997499,1038906,79.4,843775,64.5,413558,403935,25609,673,1932758,147693,508339
Bureau of Prisons,158890,N/A,N/A,154081,N/A,154080,N/A,87100,N/A,87099,N/A,69013,N/A,69013,N/A,90090,61500,7300,0,2786,59987,91308,0,25019,41222,2772,0,25019,41222,2772,0,66241,N/A,87099,N/A,0,66241,0,87100,3033,0,2674,0,1281,1352,41,0,5699,0,0
California,39630080,100298,129436,31185031,78925,30710770,100304,19593097,49.6,19217217,62.8,12505853,31.7,12404638,40.5,20545980,16706600,2377500,0,1110692,13737110,16333673,3556,5275246,6128560,1101240,807,5269035,6037413,1097385,805,11404613,49.6,19217217,62.8,28.9,11307253,36.9,19593097,5118970,87.7,3912102,67,2041390,1755580,114733,399,8991917,154021,678816
Colorado,5425720,94217,120593,4549102,78995,4479253,99556,2708668,47,2657039,59.1,1932846,33.6,1914127,42.5,2799420,2333800,292500,0,146973,2051864,2349078,1187,838419,949018,145073,336,837550,931736,144507,334,1787773,47,2657039,59.1,31,1769620,39.3,2708668,701345,83.3,611731,72.6,307853,290660,13071,147,1322007,156931,644070
Connecticut,3915915,109834,137989,3300234,92566,3250275,114533,1980863,55.6,1940092,68.4,1425477,40,1417011,49.9,2074215,1611700,230000,0,125162,1354180,1820633,259,560513,739673,125233,58,560241,731587,125125,58,1300244,55.6,1940092,68.4,36.5,1291886,45.5,1980863,570790,90.6,512950,81.4,202044,298968,11918,20,1084179,172025,621333
District of Columbia,864815,122539,149731,615530,87217,613028,106137,344415,48.8,341961,59.2,217523,30.8,216741,37.5,479115,339600,46100,0,20822,240187,354484,37,78428,114435,24630,30,78418,113679,24615,29,192893,48.8,341961,59.2,27.3,192126,33.3,344415,67779,77.6,52477,60.1,28840,21987,1641,9,147270,168611,990137
