COVID-19 Vaccinations in the United States
Date generated: Thu Apr 22 2021 15:15:11 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,749605,102469,135906,524758,71733,514262,93237,294331,40.2,287833,52.2,239813,32.8,235771,42.7,374205,323800,51600,0,13703,235063,275919,73,103579,123422,12798,14,103382,119637,12738,14,227015,40.2,287833,52.2,31,223033,40.4,294331,70382,76.8,64879,70.8,37334,26093,1446,6,132157,144295,818453
Alabama,3796070,77420,99507,2360527,48143,2351369,61637,1507116,30.7,1499069,39.3,987379,20.1,986052,25.8,1896570,1655500,244000,0,72328,1125704,1162495,0,438154,475199,73979,47,438100,473960,73945,47,913400,30.7,1499069,39.3,18.6,912107,23.9,1507116,603064,71,462126,54.4,242234,197042,22817,33,1022009,120259,446682
Arkansas,2472660,81936,106688,1645403,54523,1632535,70439,1024343,33.9,1013158,43.7,670829,22.2,668783,28.9,1226160,1088600,157900,0,53896,776156,814960,391,305339,312707,52694,89,305232,311021,52443,87,618135,33.9,1013158,43.7,20.5,616340,26.6,1024343,377040,72,290294,55.4,167571,114127,8535,61,658421,125681,471988
American Samoa,43810,78669,100859,36093,64812,34966,80498,20341,36.5,19687,45.3,15849,28.5,15379,35.4,30810,12400,600,0,0,8085,28008,0,3568,12275,6,0,3559,11814,6,0,15843,36.5,19687,45.3,28.4,15373,35.4,20341,2362,24.9,2066,21.8,830,1235,1,0,4363,46086,462765
Arizona,6028435,82823,106916,4631928,63637,4583702,81293,2780137,38.2,2744337,48.7,1851575,25.4,1841294,32.7,3021135,2634500,372800,0,130571,2024868,2473994,2495,757171,967421,126161,822,757059,957331,126082,822,1725414,38.2,2744337,48.7,23.7,1715212,30.4,2780137,1012544,77.4,803813,61.4,386808,392418,24039,548,1864826,142502,460667
Bureau of Prisons,147940,N/A,N/A,134268,N/A,134267,N/A,78922,N/A,78921,N/A,56407,N/A,56407,N/A,84240,57100,6600,0,1739,52226,80303,0,21235,33445,1727,0,21235,33445,1727,0,54680,N/A,78921,N/A,0,54680,0,78922,2921,0,2390,0,1133,1227,30,0,5313,0,0
California,34409560,87086,112385,27013516,68367,26731372,87307,17580351,44.5,17345828,56.7,10318378,26.1,10268025,33.5,17555460,14594800,2259300,0,1066609,11989032,13955043,2832,4302444,4957454,1057901,579,4299078,4914065,1054304,578,9260477,44.5,17345828,56.7,23.4,9213721,30.1,17580351,5006204,85.8,3728737,63.9,1941036,1677215,110163,323,8695928,148951,589395
Colorado,4792990,83230,106529,3942162,68455,3896880,86612,2491259,43.3,2452293,54.5,1561775,27.1,1554931,34.6,2391090,2111700,290200,0,142922,1800098,1998083,1059,677809,742505,141162,299,677399,736612,140621,299,1420613,43.3,2452293,54.5,24.7,1414310,31.4,2491259,687758,81.6,593244,70.4,298400,282188,12531,125,1280234,151972,568960
Connecticut,3521165,98762,124079,2870146,80503,2842053,100148,1793931,50.3,1767381,62.3,1177610,33,1176272,41.4,1869465,1431900,219800,0,116957,1195532,1557437,220,473552,586830,117182,46,473317,585815,117094,46,1060428,50.3,1767381,62.3,29.7,1059178,37.3,1793931,558220,88.6,492239,78.1,191887,289348,10987,17,1051650,166864,558699
District of Columbia,720775,102129,124792,532219,75412,530678,91879,301868,42.8,300301,52,174124,24.7,173713,30.1,383175,293100,44500,0,20055,203937,308225,2,62534,87554,24008,28,62529,87164,23993,27,150116,42.8,300301,52,21.3,149720,25.9,301868,65827,75.4,49444,56.6,27043,20805,1587,9,141949,162519,825224
