COVID-19 Vaccinations in the United States
Date generated: Sat May 01 2021 15:12:49 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,769205,105148,139459,552792,75565,540647,98021,305395,41.7,298197,54.1,256564,35.1,251578,45.6,385905,330100,53200,0,14202,247881,290632,77,112074,131258,13214,18,111824,126584,13152,18,243350,41.7,298197,54.1,33.3,238426,43.2,305395,71265,77.8,66110,72.2,38019,26591,1490,10,134175,146498,839853
Alabama,4088030,83375,107160,2591163,52847,2578124,67581,1589518,32.4,1579389,41.4,1143488,23.3,1140301,29.9,2046330,1795500,246200,0,74183,1234231,1282749,0,507879,559658,75892,59,507796,556588,75858,59,1067596,32.4,1579389,41.4,21.8,1064443,27.9,1589518,617674,72.7,497432,58.5,261817,212277,23299,39,1070791,126000,481037
Arkansas,2636070,87351,113739,1787295,59225,1769487,76348,1071773,35.5,1058376,45.7,765888,25.4,761118,32.8,1311570,1166100,158400,0,54811,839230,892803,451,346704,365592,53486,106,346497,361280,53237,104,712402,35.5,1058376,45.7,23.6,707881,30.5,1071773,383362,73.2,306022,58.4,175810,121476,8664,72,680585,129912,503180
American Samoa,54030,97021,124387,38743,69570,37454,86226,21731,39,20983,48.3,17141,30.8,16603,38.2,37830,15600,600,0,22,8710,30011,0,3807,13305,29,0,3797,12777,29,0,17112,39,20983,48.3,30.7,16574,38.2,21731,2456,25.9,2163,22.8,867,1290,6,0,4548,48041,570719
Arizona,6610725,90823,117243,5070403,69661,5004196,88751,2960823,40.7,2917857,51.7,2106896,28.9,2086029,37,3333525,2901900,375300,0,135597,2220851,2710990,2965,863266,1111711,130936,983,863112,1091084,130850,983,1975960,40.7,2917857,51.7,27.1,1955179,34.7,2960823,1034062,79,835878,63.9,409179,401105,24947,647,1919980,146716,505163
Bureau of Prisons,158890,N/A,N/A,151186,N/A,151185,N/A,85721,N/A,85720,N/A,67084,N/A,67084,N/A,90090,61500,7300,0,2365,58839,89982,0,24621,40112,2351,0,24621,40112,2351,0,64733,N/A,85720,N/A,0,64733,0,85721,3021,0,2632,0,1271,1322,39,0,5646,0,0
California,38918500,98497,127112,30223491,76491,29792442,97305,19178415,48.5,18830080,61.5,11945441,30.2,11859922,38.7,20213700,16404300,2300500,0,1090803,13349744,15779578,3366,5042005,5820969,1081723,744,5036506,5744689,1077984,743,10863718,48.5,18830080,61.5,27.5,10781938,35.2,19178415,5092875,87.2,3870398,66.3,2018979,1738511,112530,378,8924790,152871,666628
Colorado,5395910,93700,119930,4442828,77149,4379198,97332,2677574,46.5,2628056,58.4,1856500,32.2,1841899,40.9,2772510,2331800,291600,0,145113,2008711,2287840,1164,807373,905578,143219,330,806635,892270,142666,328,1713281,46.5,2628056,58.4,29.8,1699233,37.8,2677574,699116,83,608183,72.2,306202,289057,12781,143,1316428,156269,640531
Connecticut,3875845,108711,136577,3220725,90336,3175472,111897,1952869,54.8,1913850,67.4,1372774,38.5,1367209,48.2,2049645,1597300,228900,0,123107,1326808,1770557,253,544325,705180,123212,57,544056,699991,123105,57,1249562,54.8,1913850,67.4,35,1244104,43.8,1952869,568484,90.2,509401,80.8,200406,297412,11564,19,1078580,171137,614975
District of Columbia,863315,122326,149471,601789,85270,599389,103776,337803,47.9,335443,58.1,210078,29.8,209329,36.2,479115,339400,44800,0,20725,234641,346386,37,75811,109706,24531,30,75801,108983,24516,29,185547,47.9,335443,58.1,26.3,184813,32,337803,67400,77.2,52059,59.6,28621,21792,1637,9,146383,167596,988419
