COVID-19 Vaccinations in the United States
Date generated: Sun May 02 2021 15:13:02 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,769205,105148,139459,560662,76641,547959,99347,307711,42.1,300372,54.5,262217,35.8,256817,46.6,385905,330100,53200,0,14636,250804,295145,77,113958,134653,13588,18,113700,129573,13526,18,248629,42.1,300372,54.5,34,243291,44.1,307711,71454,78,66456,72.6,38153,26763,1530,10,134680,147050,839853
Alabama,4130550,84242,108275,2617405,53382,2603796,68254,1599130,32.6,1588792,41.6,1161725,23.7,1158173,30.4,2065050,1815200,250300,0,74932,1248418,1294055,0,517193,567810,76662,60,517106,564380,76627,60,1085063,32.6,1588792,41.6,22.1,1081546,28.4,1599130,619426,72.9,501562,59,264621,213398,23504,39,1076330,126651,486040
Arkansas,2644650,87635,114109,1803795,59772,1785108,77022,1077072,35.7,1063336,45.9,777244,25.8,771931,33.3,1316250,1168200,160200,0,55058,848433,899852,452,353031,370371,53732,110,352805,365540,53478,108,723512,35.7,1063336,45.9,24,718453,31,1077072,384132,73.3,307810,58.8,177109,121916,8710,75,683131,130398,504818
American Samoa,54030,97021,124387,38743,69570,37454,86226,21732,39,20984,48.3,17142,30.8,16604,38.2,37830,15600,600,0,22,8710,30011,0,3809,13304,29,0,3799,12776,29,0,17113,39,20984,48.3,30.7,16575,38.2,21732,2455,25.9,2163,22.8,867,1290,6,0,4548,48041,570719
Arizona,6652295,91394,117980,5123812,70394,5055669,89664,2981885,41,2938151,52.1,2139453,29.4,2117429,37.6,3358095,2912700,381500,0,137225,2246646,2736884,3057,877994,1127995,132454,1010,877838,1106213,132368,1010,2006999,41,2938151,52.1,27.6,1985061,35.2,2981885,1036986,79.2,840638,64.2,411844,402881,25249,664,1927824,147316,508339
Bureau of Prisons,158890,N/A,N/A,153586,N/A,153585,N/A,86840,N/A,86839,N/A,68757,N/A,68757,N/A,90090,61500,7300,0,2763,59669,91154,0,24925,41083,2749,0,24925,41083,2749,0,66008,N/A,86839,N/A,0,66008,0,86840,3031,0,2665,0,1280,1344,41,0,5688,0,0
California,39630080,100298,129436,30820835,78003,30363233,99169,19444906,49.2,19078852,62.3,12282199,31.1,12187874,39.8,20545980,16706600,2377500,0,1101573,13580241,16135526,3495,5175565,6013537,1092310,787,5169669,5928910,1088510,785,11189889,49.2,19078852,62.3,28.3,11099364,36.3,19444906,5109853,87.5,3896692,66.7,2032637,1749960,113699,396,8968147,153614,678816
Colorado,5425720,94217,120593,4506339,78252,4439175,98666,2697032,46.8,2646337,58.8,1901152,33,1884193,41.9,2799420,2333800,292500,0,146323,2037258,2321574,1184,827498,928900,144418,336,826685,913315,143859,334,1756734,46.8,2646337,58.8,30.5,1740334,38.7,2697032,700560,83.2,610449,72.5,307378,289950,12974,147,1320021,156695,644070
Connecticut,3915915,109834,137989,3264326,91559,3216710,113350,1967859,55.2,1927983,67.9,1402619,39.3,1395568,49.2,2074215,1611700,230000,0,124368,1342888,1796811,259,554215,723903,124443,58,553945,717229,124336,58,1278176,55.2,1927983,67.9,35.9,1271232,44.8,1967859,569766,90.4,511505,81.2,201411,298304,11770,20,1081787,171646,621333
District of Columbia,864815,122539,149731,608710,86250,606287,104970,341552,48.4,339166,58.7,213945,30.3,213186,36.9,479115,339600,46100,0,20749,237717,350207,37,77364,111978,24573,30,77354,111245,24558,29,189372,48.4,339166,58.7,26.8,188628,32.7,341552,67620,77.4,52321,59.9,28772,21901,1639,9,146901,168189,990137
