COVID-19 Vaccinations in the United States
Date generated: Sun Feb 07 2021 15:08:44 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,248500,139147,33969,19021,103163,14102,35773,4890
Alabama,804100,455173,16400,9283,370275,7552,84278,1719
Arkansas,540050,374674,17895,12415,290153,9615,81564,2703
American Samoa,29450,12259,52883,22013,9779,17560,2478,4450
Arizona,1186000,766788,16294,10535,629750,8652,136236,1872
Bureau of Prisons,37050,39616,N/A,N/A,26167,0,13362,0
California,6963500,4137600,17624,10472,3389906,8579,727993,1842
Colorado,991075,694860,17210,12066,512024,8891,178975,3108
Connecticut,740300,519400,20764,14568,395554,11095,115349,3235
District of Columbia,166950,102031,23656,14457,71810,10175,24069,3410
Dept of Defense,978500,588731,N/A,N/A,468020,0,111028,0
Delaware,161525,118475,16588,12167,94962,9752,22791,2341
Florida,3791925,2385839,17655,11108,1865090,8684,512064,2384
Federated States of Micronesia,21900,7335,21130,7077,7230,6976,78,75
Georgia,1688075,1098863,15899,10350,887597,8360,188736,1778
Guam,51300,28959,30947,17470,23195,13992,5581,3367
Hawaii,263000,179059,18575,12647,132701,9372,37054,2617
Iowa,510550,308527,16182,9779,224437,7114,80640,2556
Idaho,266475,176220,14911,9861,133810,7488,32011,1791
Indian Health Svc,492875,276062,N/A,N/A,204056,0,67885,0
Illinois,2089050,1329963,16486,10495,1028487,8116,275276,2172
Indiana,1118350,749771,16612,11137,593266,8812,156083,2318
Kansas,492250,280252,16897,9620,218170,7489,60203,2066
Kentucky,747000,517168,16720,11576,406790,9105,108050,2418
Louisiana,769750,570731,16558,12277,419327,9020,150219,3231
Massachusetts,1247600,727120,18101,10549,571853,8297,153692,2230
Maryland,1029725,626838,17032,10368,496331,8210,129951,2149
Maine,254550,168626,18937,12545,126127,9383,40806,3036
Marshall Islands,21000,4740,35951,8115,4259,7291,443,758
Michigan,1639575,1193181,16417,11948,896162,8973,282345,2827
Minnesota,950250,703366,16850,12472,509608,9036,150576,2670
Missouri,961525,583949,15667,9515,448830,7313,129273,2106
Northern Mariana Islands,29650,11697,52125,20564,7770,13660,3920,6891
Mississippi,515450,300464,17319,10096,252569,8486,47607,1600
Montana,163675,130883,15314,12246,96394,9019,34207,3201
North Carolina,1718275,1171240,16383,11167,939554,8958,230372,2197
North Dakota,131625,120742,17272,15844,81935,10752,35123,4609
Nebraska,346375,218405,17906,11291,157139,8123,59985,3101
New Hampshire,257700,161178,18953,11854,116523,8570,43888,3228
New Jersey,1480825,1041289,16672,11723,791011,8906,199040,2241
New Mexico,364875,322611,17401,15386,240516,11470,78774,3757
Nevada,427800,322252,13889,10462,264060,8573,56456,1833
New York State,3378300,2225316,17366,11439,1661253,8540,468747,2410
Ohio,1901750,1242487,16269,10629,975620,8346,265445,2271
Oklahoma,734625,541252,18565,13678,406359,10269,131556,3325
Oregon,734950,509875,17425,12089,389513,9235,118378,2807
Pennsylvania,2292500,1338491,17907,10455,1036395,8096,298741,2334
Puerto Rico,624025,299694,19539,9384,229133,7175,69224,2168
Rhode Island,192300,111830,18152,10556,81085,7654,30711,2899
Republic of Palau,6000,3360,33506,18764,3109,17362,251,1402
South Carolina,684700,542879,13298,10544,435079,8450,103432,2009
South Dakota,161150,127592,18216,14423,88882,10047,38626,4366
Tennessee,1156975,752298,16942,11016,521621,7638,228198,3342
Texas,4402275,3107936,15182,10719,2371311,8178,734386,2533
Utah,493525,400285,15394,12486,284458,8873,88190,2751
Virginia,1387775,1052577,16259,12332,842587,9872,180751,2118
Veterans Health,1733525,1130808,N/A,N/A,876409,0,253303,0
Virgin Islands,20625,9466,19703,9043,6961,6650,2505,2393
Vermont,116075,82992,18602,13300,58637,9397,24212,3880
Washington,1208600,867773,15872,11396,684484,8989,170990,2245
Wisconsin,926300,638241,15909,10962,521331,8954,110306,1894
West Virginia,357000,314870,19920,17569,214301,11958,100159,5589
Wyoming,101650,71858,17563,12416,56076,9689,14835,2563
