COVID-19 Vaccinations in the United States
Date generated: Sat Jan 30 2021 17:36:36 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Distributed,Total Administered,Distributed per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,192350,110396,26294,15091,88654,12119,21593,2952
Alabama,659400,300915,13448,6137,256601,5233,44073,899
Arkansas,453500,269993,15027,8947,221552,7341,45918,1522
American Samoa,18450,9925,33130,17822,8926,16028,997,1790
Arizona,1012275,521097,13907,7159,439897,6044,80773,1110
Bureau of Prisons,30050,29754,N/A,N/A,21674,0,8011,0
California,5640225,2910562,14275,7366,2415659,6114,487552,1234
Colorado,813400,521879,14125,9062,409939,7119,108507,1884
Connecticut,577625,403370,16201,11314,329149,9232,67624,1897
District of Columbia,148325,73328,21017,10390,57152,8098,16112,2283
Dept of Defense,808800,415720,N/A,N/A,353482,0,53084,0
Delaware,143775,87300,14765,8965,72684,7464,14210,1459
Florida,3220350,1796246,14994,8363,1554179,7236,236834,1103
Federated States of Micronesia,19400,3965,18718,3826,3933,3795,5,5
Georgia,1448825,810291,13646,7632,693085,6528,99941,941
Guam,34300,21254,20692,12822,16747,10103,4358,2629
Hawaii,226800,111165,16018,7851,89428,6316,21736,1535
Iowa,398600,224347,12634,7111,174655,5536,46785,1483
Idaho,221550,108873,12397,6092,88975,4979,18970,1062
Indian Health Svc,423400,191109,N/A,N/A,152563,0,36548,0
Illinois,1658725,884502,13090,6980,685529,5410,181063,1429
Indiana,929900,581322,13813,8635,475928,7069,105208,1563
Kansas,412375,190540,14155,6540,157720,5414,31482,1081
Kentucky,650050,366643,14550,8207,312373,6992,52251,1170
Louisiana,620425,398312,13346,8568,339450,7302,58132,1250
Massachusetts,1057000,520504,15336,7552,422803,6134,96373,1398
Maryland,881675,442565,14584,7320,375525,6211,66582,1101
Maine,211150,123207,15708,9166,93513,6957,28255,2102
Marshall Islands,13600,3928,23282,6725,3661,6267,232,397
Michigan,1361500,866663,13633,8678,695236,6962,159723,1599
Minnesota,834550,440350,14798,7808,340311,6034,98634,1749
Missouri,834700,408441,13600,6655,313161,5102,92389,1505
Northern Mariana Islands,18650,9548,32787,16786,6486,11403,3058,5376
Mississippi,425000,212748,14280,7148,191145,6423,21354,718
Montana,141650,92589,13253,8663,71534,6693,21007,1966
North Carolina,1400375,851223,13352,8116,729507,6956,120946,1153
North Dakota,106875,86175,14024,11308,63773,8368,20700,2716
Nebraska,288375,158370,14908,8187,120121,6210,37350,1931
New Hampshire,203550,117408,14970,8635,92305,6789,25055,1843
New Jersey,1231525,727426,13865,8190,616618,6942,108740,1224
New Mexico,317800,238755,15156,11386,189082,9018,46878,2236
Nevada,339900,210185,11035,6824,179805,5838,29163,947
New York State,2823575,1703218,14514,8755,1359970,6991,271874,1398
Ohio,1553900,843099,13294,7213,716677,6131,125794,1076
Oklahoma,594925,386688,15035,9772,323625,8179,60680,1533
Oregon,614525,359391,14570,8521,299508,7101,58664,1391
Pennsylvania,1973775,972742,15418,7598,777260,6071,193432,1511
Puerto Rico,530850,224303,16622,7023,174840,5475,48196,1509
Rhode Island,157525,83607,14870,7892,63263,5972,20321,1918
Republic of Palau,6000,3089,33506,17250,3088,17245,1,6
South Carolina,558050,385158,10839,7481,322195,6258,60974,1184
South Dakota,123800,97231,13994,10991,70502,7969,26665,3014
Tennessee,953600,545921,13964,7994,400950,5871,143592,2103
Texas,3659550,2219867,12621,7656,1804291,6223,413844,1427
Utah,401375,271127,12520,8457,219468,6846,40909,1276
Virginia,1186375,724768,13899,8491,598853,7016,99790,1169
Veterans Health,1367700,841497,N/A,N/A,688872,0,151793,0
Virgin Islands,17075,5256,16312,5021,4367,4172,889,849
Vermont,99750,61737,15986,9894,47485,7610,14168,2271
Washington,1005500,607071,13204,7972,496008,6514,99955,1313
Wisconsin,793750,406869,13633,6988,339296,5827,65354,1122
West Virginia,278400,239963,15534,13390,181839,10146,58113,3243
Wyoming,85750,49166,14816,8495,41441,7160,7674,1326
