COVID-19 Vaccinations in the United States
Date generated: Tue Apr 20 2021 15:14:53 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,746705,102072,135380,517521,70744,507398,91993,291456,39.8,285164,51.7,235666,32.2,231791,42,374205,320900,51600,0,13597,231777,272075,72,101224,121638,12790,14,101043,118004,12730,14,222876,39.8,285164,51.7,30.5,219061,39.7,291456,70199,76.6,64591,70.5,37184,25958,1443,6,131690,143785,815287
Alabama,3664740,74742,96064,2297563,46859,2289209,60007,1483779,30.3,1476278,38.7,946333,19.3,945272,24.8,1804140,1616600,244000,0,72031,1099762,1125770,0,422561,450055,73672,45,422512,449076,73639,45,872661,30.3,1476278,38.7,17.8,871633,22.8,1483779,598999,70.5,452861,53.3,237252,192839,22738,32,1008886,118715,431229
Arkansas,2370830,78561,102295,1618371,53627,1606760,69327,1013104,33.6,1003001,43.3,655130,21.7,653253,28.2,1168830,1044100,157900,0,53790,764134,800064,383,298413,304028,52599,90,298327,302487,52351,88,602531,33.6,1003001,43.3,20,600902,25.9,1013104,375493,71.7,287685,54.9,165843,113259,8521,62,654215,124878,452550
American Samoa,43810,78669,100859,35972,64594,34845,80220,20253,36.4,19599,45.1,15809,28.4,15339,35.3,30810,12400,600,0,0,8019,27953,0,3534,12269,6,0,3525,11808,6,0,15803,36.4,19599,45.1,28.4,15333,35.3,20253,2357,24.9,2049,21.6,814,1234,1,0,4344,45886,462765
Arizona,5738495,78839,101774,4550226,62514,4505752,79911,2744596,37.7,2710478,48.1,1804526,24.8,1796287,31.9,2890095,2475600,372800,0,128054,1996024,2423732,2416,741570,938469,123690,797,741465,930409,123616,797,1680836,37.7,2710478,48.1,23.1,1672671,29.7,2744596,1008682,77.1,796531,60.9,382039,390176,23785,531,1853382,141627,438511
Bureau of Prisons,137790,N/A,N/A,133323,N/A,133322,N/A,78272,N/A,78271,N/A,56110,N/A,56110,N/A,78390,52800,6600,0,1737,51712,79874,0,21183,33202,1725,0,21183,33202,1725,0,54385,N/A,78271,N/A,0,54385,0,78272,2912,0,2372,0,1129,1213,30,0,5286,0,0
California,32618010,82552,106534,26435308,66904,26181459,85511,17276173,43.7,17065179,55.7,10041634,25.4,9996073,32.6,16578510,13780200,2259300,0,1064206,11738558,13629803,2741,4157398,4828212,1055470,554,4154384,4789242,1051894,553,8986164,43.7,17065179,55.7,22.7,8944179,29.2,17276173,4992562,85.5,3699059,63.4,1924280,1664548,109917,314,8652667,148210,558708
Colorado,4515250,78407,100356,3846376,66792,3804949,84569,2447138,42.5,2411147,53.6,1510363,26.2,1504392,33.4,2260050,1965000,290200,0,142601,1762458,1940281,1036,656343,712884,140847,289,655970,707827,140306,289,1369516,42.5,2411147,53.6,23.8,1364086,30.3,2447138,685366,81.4,590183,70.1,296648,280904,12507,124,1274650,151310,535991
Connecticut,3395165,95228,119639,2808703,78779,2782804,98060,1762218,49.4,1737761,61.2,1147703,32.2,1146441,40.4,1799265,1376100,219800,0,116713,1175068,1516706,216,463739,567010,116909,45,463504,566069,116823,45,1030794,49.4,1737761,61.2,28.9,1029618,36.3,1762218,556408,88.3,488737,77.5,190302,287451,10967,17,1046362,166025,538706
District of Columbia,683975,96915,118421,521527,73897,520073,90043,294659,41.8,293207,50.8,169356,24,168960,29.3,359775,279700,44500,0,19851,198995,302679,2,60643,84879,23808,26,60639,84503,23793,25,145548,41.8,293207,50.8,20.6,145167,25.1,294659,65595,75.1,49031,56.1,26738,20713,1571,9,141324,161803,783091
