COVID-19 Vaccinations in the United States
Date generated: Thu Apr 29 2021 15:13:28 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,765635,104660,138812,543274,74264,531685,96396,301770,41.3,294771,53.4,250694,34.3,246061,44.6,384735,327700,53200,0,13848,243748,285601,77,109369,128387,12921,17,109137,124046,12861,17,237773,41.3,294771,53.4,32.5,233200,42.3,301770,71015,77.5,65736,71.8,37818,26450,1459,9,133583,145852,835956
Alabama,4033570,82264,105733,2527815,51555,2516052,65954,1568315,32,1558666,40.9,1098820,22.4,1096449,28.7,2025270,1764300,244000,0,72914,1202656,1252245,0,487362,536788,74612,58,487287,534526,74578,58,1024208,32,1558666,40.9,20.9,1021871,26.8,1568315,613347,72.2,486633,57.3,256022,207597,22977,37,1056100,124271,474629
Arkansas,2626760,87042,113337,1753393,58102,1736870,74941,1060712,35.1,1047757,45.2,743022,24.6,739092,31.9,1308060,1160300,158400,0,54608,822108,876244,433,336033,353596,53287,106,335860,350091,53037,104,689735,35.1,1047757,45.2,22.9,686055,29.6,1060712,381877,72.9,302309,57.7,173648,119962,8626,73,675340,128911,501403
American Samoa,47010,84415,108226,37808,67891,36575,84202,21284,38.2,20568,47.4,16650,29.9,16136,37.1,30810,15600,600,0,22,8595,29191,0,3783,12839,28,0,3773,12335,28,0,16622,38.2,20568,47.4,29.8,16108,37.1,21284,2434,25.7,2137,22.6,867,1264,6,0,4500,47534,496567
Arizona,6525095,89646,115724,4980955,68432,4917905,87220,2926506,40.2,2884681,51.2,2052084,28.2,2033171,36.1,3299595,2852700,372800,0,133821,2176505,2667793,2836,837873,1084000,129273,938,837726,1065318,129189,938,1922811,40.2,2884681,51.2,26.4,1903982,33.8,2926506,1029467,78.7,828761,63.3,404750,398805,24585,621,1907953,145797,498619
Bureau of Prisons,158890,N/A,N/A,143515,N/A,143514,N/A,83367,N/A,83366,N/A,61172,N/A,61172,N/A,90090,61500,7300,0,1740,56449,85326,0,23453,35991,1728,0,23453,35991,1728,0,59444,N/A,83366,N/A,0,59444,0,83367,2992,0,2535,0,1241,1264,30,0,5529,0,0
California,37945460,96035,123934,29640092,75015,29234700,95483,18913274,47.9,18582839,60.7,11618186,29.4,11540516,37.7,19661460,16022100,2261900,0,1081645,13097698,15457514,3235,4892899,5651897,1072687,703,4887863,5582953,1068998,702,10545499,47.9,18582839,60.7,26.7,10471518,34.2,18913274,5075587,86.9,3842762,65.8,2003798,1727067,111533,364,8880321,152109,649961
Colorado,5234840,90903,116350,4323941,75085,4265826,94813,2639720,45.8,2592914,57.6,1792395,31.1,1780560,39.6,2654340,2290100,290400,0,143936,1966072,2212793,1140,780268,869748,142058,321,779605,859125,141509,321,1650337,45.8,2592914,57.6,28.7,1639051,36.4,2639720,696649,82.7,604736,71.8,304605,287393,12597,141,1301084,154447,621411
Connecticut,3800005,106583,133905,3147007,88268,3105580,109434,1923029,53.9,1886084,66.5,1327319,37.2,1323446,46.6,2023905,1556200,219900,0,121262,1301079,1724415,251,529416,676488,121359,56,529155,672981,121254,56,1205960,53.9,1886084,66.5,33.8,1202192,42.4,1923029,566017,89.8,505846,80.3,198554,295914,11359,19,1072752,170212,602942
District of Columbia,813075,115207,140772,588451,83380,586218,101495,330670,46.9,328472,56.9,202688,28.7,201982,35,441675,326900,44500,0,20500,229826,338088,37,74062,104276,24320,30,74053,103595,24305,29,178368,46.9,328472,56.9,25.3,177677,30.8,330670,66995,76.7,51616,59.1,28426,21552,1629,9,145445,166522,930899
Dept of Defense,3680400,N/A,N/A,2822206,N/A,2803183,N/A,1747420,N/A,1732089,N/A,1059184,N/A,1055824,N/A,1973400,1537500,169500,0,64327,1259478,1498002,399,440297,557475,61412,0,440256,554174,61394,0,997772,N/A,1732089,N/A,0,994430,0,1747420,160804,0,109567,0,38299,68380,2888,0,276044,0,0
Delaware,944785,97024,122669,739528,75945,732146,95060,447134,45.9,441917,57.4,304057,31.2,302871,39.3,488085,406100,50600,0,33601,294879,410838,210,109391,161732,32843,91,109362,160599,32819,91,271214,45.9,441917,57.4,27.9,270052,35.1,447134,165038,87.4,137151,72.6,55796,74508,6788,59,303429,160624,500135
Florida,20210185,94098,117175,14851191,69147,14764114,85600,8819692,41.1,8743238,50.7,6033594,28.1,6023670,34.9,10460385,8403500,1346300,0,535368,6470166,7822530,23127,2474159,3022217,529704,7514,2473517,3013198,529441,7514,5503890,41.1,8743238,50.7,25.6,5494229,31.9,8819692,3761909,83.6,3083528,68.6,1545696,1405441,126419,5972,7127756,158488,449381
Federated States of Micronesia,63200,60979,78177,33156,31991,33138,40991,19983,19.3,19967,24.7,13299,12.8,13297,16.4,0,61600,1600,0,103,33053,0,0,13170,23,106,0,13168,23,106,0,13193,19.3,19967,24.7,12.7,13191,16.3,19983,1785,10.1,1335,7.6,1301,5,29,0,3069,17419,358704
Georgia,9110285,85805,112285,6135031,57783,6072265,74841,3661495,34.5,3613662,44.5,2470926,23.3,2455946,30.3,4696185,3914800,499300,0,140442,2777906,3216315,368,1109755,1223557,137385,229,1109570,1208971,137178,227,2333541,34.5,3613662,44.5,22,2318768,28.6,3661495,1149129,75.8,942298,62.1,533186,391202,17775,135,2157016,142194,600564
Guam,140740,84902,108848,126333,76211,123495,95511,74749,45.1,72709,56.2,52007,31.4,51211,39.6,76440,53200,11100,0,1210,48893,76230,0,19770,31022,1215,0,19767,30229,1215,0,50792,45.1,72709,56.2,30.6,49996,38.7,74749,13621,48.3,11574,41.1,4881,6594,99,0,25257,89624,499414
