COVID-19 Vaccinations in the United States
Date generated: Tue Apr 13 2021 15:15:00 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,706185,96533,128034,465250,63598,456881,82834,272212,37.2,266792,48.4,201795,27.6,198802,36,355485,308600,42100,0,11713,208571,244897,69,86099,104677,11007,12,85972,101864,10954,12,190788,37.2,266792,48.4,26.1,187848,34.1,272212,68151,74.4,57820,63.1,33481,23038,1296,5,122919,134209,771045
Alabama,3278980,66874,85952,2092489,42676,2086650,54698,1389598,28.3,1384137,36.3,824052,16.8,823533,21.6,1572480,1467400,239100,0,67090,1009591,1015808,0,374531,380925,68553,43,374489,380477,68524,43,755499,28.3,1384137,36.3,15.4,755009,19.8,1389598,582703,68.6,420124,49.4,218146,180344,21603,31,961884,113185,385836
Arkansas,2138430,70860,92267,1478774,49002,1470434,63445,950204,31.5,942645,40.7,572844,19,571734,24.7,1028430,956300,153700,0,47604,700563,730274,333,259542,266693,46531,78,259490,265860,46307,77,526313,31.5,942645,40.7,17.4,525427,22.7,950204,366369,69.9,270514,51.6,155106,107756,7595,57,628519,119973,408189
American Samoa,43810,78669,100859,34165,61350,33082,76161,19406,34.8,18777,43.2,14846,26.7,14395,33.1,30810,12400,600,0,0,7041,27124,0,2951,11889,6,0,2949,11440,6,0,14840,34.8,18777,43.2,26.6,14389,33.1,19406,2312,24.4,1947,20.6,733,1213,1,0,4195,44312,462765
Arizona,5161045,70906,91533,4168939,57276,4134441,73325,2558747,35.2,2531221,44.9,1602317,22,1597343,28.3,2556645,2257800,346600,0,112028,1831053,2223760,2098,658688,834679,108262,688,658597,829865,108193,688,1494055,35.2,2531221,44.9,20.5,1489150,26.4,2558747,985745,75.3,751724,57.4,353830,375929,21503,462,1784333,136351,394384
Bureau of Prisons,123570,N/A,N/A,126933,N/A,126932,N/A,74487,N/A,74486,N/A,53292,N/A,53292,N/A,71370,48500,3700,0,1498,49287,76148,0,20193,31612,1487,0,20193,31612,1487,0,51805,N/A,74486,N/A,0,51805,0,74487,2820,0,2298,0,1101,1179,18,0,5131,0,0
California,29034050,73481,94828,23031055,58288,22879783,74728,15320888,38.8,15193181,49.6,8459357,21.4,8433198,27.5,14474850,12470200,2089000,0,874852,10439709,11714219,2275,3507494,4080091,871333,439,3505618,4058512,868630,438,7588024,38.8,15193181,49.6,19.2,7564568,24.7,15320888,4821733,82.6,3447315,59,1789609,1562851,94583,272,8236938,141089,497319
Colorado,4090550,71032,90917,3407618,59173,3382519,75180,2193270,38.1,2170697,48.2,1311847,22.8,1308893,29.1,1979250,1832100,279200,0,125074,1596247,1685354,943,579307,608651,123628,261,579095,606325,123212,261,1188219,38.1,2170697,48.2,20.6,1185681,26.4,2193270,674221,80,573141,68,287691,273835,11503,112,1246917,148017,485576
Connecticut,2991235,83899,105405,2498626,70082,2484152,87537,1583584,44.4,1570294,55.3,1001744,28.1,1000671,35.3,1554735,1234600,201900,0,100828,1059699,1337919,180,407808,492662,101246,28,407595,491879,101169,28,900498,44.4,1570294,55.3,25.3,899502,31.7,1583584,547041,86.8,469127,74.4,180272,279025,9815,15,1018424,161592,474615
District of Columbia,610475,86500,105695,462553,65541,461345,79875,256132,36.3,255096,44.2,139472,19.8,139102,24.1,324675,246400,39400,0,15883,177061,269609,0,52423,68442,18587,20,52421,68083,18578,20,120885,36.3,255096,44.2,17.1,120524,20.9,256132,63934,73.2,46063,52.7,25450,19274,1331,8,136714,156525,698940
Dept of Defense,3009640,N/A,N/A,2327881,N/A,2317577,N/A,1479397,N/A,1470893,N/A,821566,N/A,820080,N/A,1601340,1252200,156100,0,47426,1052255,1227801,399,345318,431737,44511,0,345282,430299,44499,0,777055,N/A,1470893,N/A,0,775581,0,1479397,149261,0,97424,0,33052,62028,2344,0,252650,0,0
Delaware,729185,74883,94676,582422,59811,579707,75268,373330,38.3,371213,48.2,212392,21.8,212215,27.6,371085,310500,47600,0,20443,239290,322517,172,79181,112999,20139,73,79166,112851,20125,73,192253,38.3,371213,48.2,19.7,192090,24.9,373330,157717,83.5,120863,64,49855,65131,5833,44,280331,148397,386004
Florida,15878475,73930,92061,12083514,56261,12047611,69850,7477121,34.8,7445333,43.2,4605451,21.4,4601550,26.7,8023275,6771800,1083400,0,466090,5463397,6136487,17540,1939733,2198009,462000,5709,1939132,2194925,461784,5709,4143451,34.8,7445333,43.2,19.3,4139766,24,7477121,3604110,80.1,2822841,62.8,1402614,1300920,114570,4737,6699177,148959,353064
Federated States of Micronesia,63200,60979,78177,27527,26559,27512,34032,16878,16.3,16863,20.9,10709,10.3,10709,13.2,0,61600,1600,0,20,27507,0,0,10667,20,22,0,10667,20,22,0,10687,16.3,16863,20.9,10.3,10687,13.2,16878,1563,8.9,1118,6.3,1106,5,7,0,2649,15035,358704
