COVID-19 Vaccinations in the United States
Date generated: Fri Apr 23 2021 15:15:53 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,751205,102687,136196,530134,72468,519289,94149,296911,40.6,290236,52.6,242474,33.1,238260,43.2,374205,325400,51600,0,13709,236952,279398,75,104660,124992,12806,16,104460,121038,12746,16,229668,40.6,290236,52.6,31.4,225514,40.9,296911,70550,77,65054,71,37429,26172,1446,7,132494,144663,820200
Alabama,3825010,78011,100266,2394304,48832,2384732,62511,1518928,31,1510609,39.6,1010415,20.6,1008943,26.4,1898910,1682100,244000,0,72435,1139773,1182096,0,447267,488996,74104,48,447212,487613,74070,48,936311,31,1510609,39.6,19.1,934873,24.5,1518928,605069,71.2,467129,55,244824,199439,22832,34,1028881,121068,450087
Arkansas,2504630,82995,108068,1667028,55240,1653392,71339,1033132,34.2,1021380,44.1,683800,22.7,681556,29.4,1227330,1119400,157900,0,54175,786265,826173,415,311691,319088,52921,100,311572,317214,52672,98,630879,34.2,1021380,44.1,20.9,628884,27.1,1033132,378250,72.2,292301,55.8,168863,114804,8563,71,661684,126304,478090
American Samoa,43810,78669,100859,36093,64812,34966,80498,20342,36.5,19688,45.3,15849,28.5,15379,35.4,30810,12400,600,0,0,8085,28008,0,3568,12275,6,0,3559,11814,6,0,15843,36.5,19688,45.3,28.4,15373,35.4,20342,2363,25,2066,21.8,830,1235,1,0,4363,46086,462765
Arizona,6070975,83407,107670,4688598,64415,4638435,82264,2805338,38.5,2768758,49.1,1883233,25.9,1871820,33.2,3023475,2674700,372800,0,132029,2048919,2505085,2565,769469,985349,127568,847,769350,974135,127488,847,1755665,38.5,2768758,49.1,24.1,1744332,30.9,2805338,1015862,77.6,808501,61.8,390207,393431,24299,564,1873061,143131,463917
Bureau of Prisons,147940,N/A,N/A,137525,N/A,137524,N/A,80613,N/A,80612,N/A,57969,N/A,57969,N/A,84240,57100,6600,0,1739,53405,82381,0,21729,34513,1727,0,21729,34513,1727,0,56242,N/A,80612,N/A,0,56242,0,80613,2946,0,2437,0,1159,1248,30,0,5385,0,0
California,35048770,88704,114473,27384986,69308,27086171,88466,17777363,45,17529568,57.3,10493528,26.6,10439759,34.1,17828070,14961400,2259300,0,1068078,12160141,14153873,2894,4392998,5040579,1059350,601,4389400,4994029,1055730,600,9434178,45,17529568,57.3,23.9,9384029,30.6,17777363,5015311,85.9,3744299,64.1,1950208,1683464,110296,331,8720732,149376,600344
Colorado,4890000,84914,108686,4003990,69529,3956435,87936,2518244,43.7,2477465,55.1,1596141,27.7,1588838,35.3,2464800,2135000,290200,0,143077,1827141,2032698,1074,694408,760123,141306,304,693962,753808,140764,304,1454835,43.7,2477465,55.1,25.3,1448074,32.2,2518244,689127,81.8,595365,70.7,299569,283124,12543,129,1283823,152398,580476
Connecticut,3588735,100658,126460,2913574,81721,2884435,101642,1815120,50.9,1787590,63,1200180,33.7,1198776,42.2,1870635,1498300,219800,0,118043,1212181,1583125,225,482273,599667,118192,48,482034,598595,118099,48,1081988,50.9,1787590,63,30.3,1080677,38.1,1815120,559517,88.8,494648,78.5,192997,290589,11045,17,1055319,167446,569420
District of Columbia,737115,104444,127621,539240,76407,537621,93081,305618,43.3,303976,52.6,178088,25.2,177608,30.8,385515,307100,44500,0,20071,206454,312713,2,63467,90562,24031,28,63462,90103,24016,27,154057,43.3,303976,52.6,21.8,153592,26.6,305618,65974,75.5,49672,56.9,27165,20907,1591,9,142343,162970,843931
