COVID-19 Vaccinations in the United States
Date generated: Sun Apr 25 2021 15:14:52 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,759125,103770,137632,536961,73401,525744,95319,299312,40.9,292472,53,246821,33.7,242402,43.9,381225,326300,51600,0,13751,240602,282531,77,107291,126675,12838,17,107073,122534,12778,17,233983,40.9,292472,53,32,229624,41.6,299312,70810,77.3,65440,71.5,37661,26319,1452,8,133118,145344,828848
Alabama,3960530,80775,103818,2461510,50202,2451017,64249,1543544,31.5,1534621,40.2,1054863,21.5,1053056,27.6,1976130,1740400,244000,0,72545,1171942,1217023,0,468020,512569,74226,48,467960,510855,74193,48,980637,31.5,1534621,40.2,20,978863,25.7,1543544,609367,71.7,477136,56.1,250781,203451,22870,34,1042906,122718,466034
Arkansas,2586420,85705,111597,1707412,56578,1692707,73036,1046195,34.7,1033909,44.6,711646,23.6,708862,30.6,1282320,1146200,157900,0,54510,803494,848977,431,323530,334809,53202,105,323387,332419,52953,103,658444,34.7,1033909,44.6,21.8,655909,28.3,1046195,380100,72.6,298129,56.9,171468,117971,8618,72,669351,127768,493703
American Samoa,47010,84415,108226,37231,66855,36020,82925,20902,37.5,20203,46.5,16455,29.5,15946,36.7,30810,15600,600,0,22,8448,28761,0,3749,12678,28,0,3739,12179,28,0,16427,37.5,20203,46.5,29.5,15918,36.6,20902,2421,25.6,2131,22.5,866,1259,6,0,4481,47333,496567
Arizona,6285415,86353,111474,4815132,66154,4760458,84428,2859184,39.3,2820905,50,1955806,26.9,1941651,34.4,3177915,2734700,372800,0,132778,2110843,2568812,2699,803145,1023483,128284,894,803012,1009543,128202,894,1827522,39.3,2820905,50,25.1,1813449,32.2,2859184,1022369,78.1,818632,62.6,398141,395524,24371,596,1890161,144438,480304
Bureau of Prisons,147940,N/A,N/A,141939,N/A,141938,N/A,82720,N/A,82719,N/A,60251,N/A,60251,N/A,84240,57100,6600,0,1739,55900,84300,0,23166,35358,1727,0,23166,35358,1727,0,58524,N/A,82719,N/A,0,58524,0,82720,2974,0,2528,0,1236,1262,30,0,5504,0,0
California,36095210,91352,117890,28302062,71629,27963505,91332,18212594,46.1,17934593,58.6,10974104,27.8,10910989,35.6,18520710,15315200,2259300,0,1072634,12552054,14674306,3068,4612636,5296989,1063830,649,4608443,5241709,1060189,648,9910274,46.1,17934593,58.6,25.1,9850800,32.2,18212594,5039041,86.3,3794076,65,1976644,1706293,110786,353,8794921,150647,618268
Colorado,4968480,86277,110430,4072289,70715,4023081,89417,2542919,44.2,2501025,55.6,1639963,28.5,1632125,36.3,2516280,2162000,290200,0,143196,1863932,2064077,1084,717837,780395,141425,306,717336,773601,140882,306,1498538,44.2,2501025,55.6,26,1491243,33.1,2542919,690928,82,597835,71,301063,284094,12549,129,1288126,152909,589792
Connecticut,3716115,104230,130948,3006976,84340,2974677,104822,1858560,52.1,1828301,64.4,1250211,35.1,1248476,44,1968915,1527400,219800,0,118878,1251007,1636848,243,501498,629655,119004,54,501250,628264,118908,54,1131207,52.1,1828301,64.4,31.7,1129568,39.8,1858560,562262,89.2,500120,79.4,195708,293278,11116,18,1063478,168741,589631
District of Columbia,780595,110605,135149,558290,79106,556292,96314,315394,44.7,313488,54.3,187300,26.5,186657,32.3,425295,310800,44500,0,20289,215290,322709,2,67110,95995,24167,28,67104,95374,24152,27,163133,44.7,313488,54.3,23.1,162505,28.1,315394,66402,76,50631,58,27769,21234,1619,9,143797,164635,893712
