COVID-19 Vaccinations in the United States
Date generated: Mon Mar 29 2021 15:15:43 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,570465,77981,103427,401502,54884,395795,71759,245355,33.5,241343,43.8,160197,21.9,158481,28.7,289965,263900,16600,0,5111,183426,212909,56,69995,85194,4999,9,69917,83581,4974,9,155198,33.5,241343,43.8,21.2,153507,27.8,245355,66002,72.1,54748,59.8,32049,22153,543,3,118667,129566,622860
Alabama,2537050,51743,66504,1659102,33837,1657472,43448,1108253,22.6,1106800,29,628500,12.8,628272,16.5,1210950,1255200,70900,0,36892,834484,787726,0,299092,291506,37873,29,299064,291312,37867,29,590627,22.6,1106800,29,12,590405,15.5,1108253,527863,62.1,342220,40.3,180337,147490,14373,20,838771,98698,298534
Arkansas,1662850,55101,71747,1143893,37905,1141453,49250,763783,25.3,761458,32.9,403398,13.4,403184,17.4,801450,802400,59000,0,25357,559643,558649,244,189461,189282,24605,50,189435,189127,24572,50,378793,25.3,761458,32.9,12.6,378612,16.3,763783,333873,63.7,206349,39.4,115067,86847,4396,39,534563,102039,317409
American Samoa,43810,78669,100859,28527,51226,27691,63750,17570,31.6,17041,39.2,11047,19.8,10743,24.7,30810,12400,600,0,0,6143,22384,0,2283,8760,4,0,2282,8457,4,0,11043,31.6,17041,39.2,19.8,10739,24.7,17570,2204,23.3,1563,16.5,607,955,1,0,3708,39168,462765
Arizona,3970345,54547,70415,3308671,45457,3293989,58420,2072778,28.5,2063369,36.6,1182684,16.2,1179011,20.9,1995045,1868900,106400,0,42599,1516415,1748242,1415,515674,625426,41101,483,515598,621873,41057,483,1141583,28.5,2063369,36.6,15.7,1137954,20.2,2072778,927339,70.9,616578,47.1,282620,322613,11016,329,1591805,121639,303396
Bureau of Prisons,97960,N/A,N/A,101784,N/A,101784,N/A,60988,N/A,60988,N/A,40573,N/A,40573,N/A,56160,40100,1700,0,361,40161,61262,0,15262,24951,360,0,15262,24951,360,0,40213,N/A,60988,N/A,0,40213,0,60988,2595,0,1826,0,790,1034,2,0,4447,0,0
California,21865730,55339,71416,17335016,43873,17276107,56425,11574081,29.3,11523290,37.6,5983249,15.1,5974614,19.5,10981230,10261100,623400,0,330419,8190839,8812317,1441,2625867,3029131,328026,225,2624976,3022069,327345,224,5655223,29.3,11523290,37.6,14.3,5647269,18.4,11574081,4494012,77,2962121,50.7,1493554,1422069,46353,145,7464527,127859,374534
Colorado,3060410,53144,68021,2569087,44612,2561986,56943,1639579,28.5,1633441,36.3,966835,16.8,965778,21.5,1508910,1476400,75100,0,58339,1242103,1267983,662,428031,481332,57326,146,427942,480456,57234,146,909509,28.5,1633441,36.3,15.8,908544,20.2,1639579,648184,76.9,504050,59.8,240014,255889,8059,88,1153503,136929,363291
Connecticut,2211275,62022,77921,1854289,52010,1851623,65247,1202316,33.7,1200505,42.3,682603,19.1,681843,24,1159275,995900,56100,0,44077,819142,990939,131,275804,362663,44118,18,275636,362102,44087,18,638485,33.7,1200505,42.3,17.9,637756,22.5,1202316,521016,82.7,391146,62.1,144024,241857,5254,11,918715,145771,350860
District of Columbia,491635,69661,85120,344954,48878,344385,59625,175453,24.9,174884,30.3,88137,12.5,88114,15.3,263835,214600,13200,0,6350,136395,202209,0,38471,42553,7098,15,38470,42532,7097,15,81039,24.9,174884,30.3,11.5,81017,14,175453,58275,66.7,38464,44,22095,15945,417,7,120622,138102,562879
Dept of Defense,2405690,N/A,N/A,1873990,N/A,1868344,N/A,1183172,N/A,1178375,N/A,660717,N/A,660031,N/A,1291290,1062500,51900,0,21075,863722,988794,399,283931,358626,18160,0,283897,357983,18151,0,642557,N/A,1178375,N/A,0,641880,0,1183172,132848,0,82269,0,26069,55172,1028,0,219128,0,0
Delaware,555005,56996,72061,438768,45059,438018,56871,285100,29.3,284505,36.9,149897,15.4,149816,19.5,284505,256700,13800,0,7073,186414,245224,57,64712,77635,7530,20,64699,77568,7529,20,142367,29.3,284505,36.9,14.6,142287,18.5,285100,147633,78.2,93315,49.4,42132,46353,4817,13,242207,128216,293800
Florida,12219465,56894,70846,9271008,43166,9258622,53680,5837452,27.2,5826598,33.8,3248263,15.1,3246791,18.8,6241365,5602900,375200,0,217717,4448681,4591932,12678,1460720,1567279,216069,4195,1460135,1566492,215969,4195,3032194,27.2,5826598,33.8,14.1,3030822,17.6,5837452,3380118,75.2,2319597,51.6,1106966,1135795,73238,3598,5984398,133065,271704
Federated States of Micronesia,47400,45734,58633,23908,23068,23898,29561,14637,14.1,14627,18.1,9327,9,9327,11.5,0,46600,800,0,0,23908,0,0,9307,19,1,0,9307,19,1,0,9326,14.1,14627,18.1,9,9326,11.5,14637,1384,7.9,990,5.6,986,4,0,0,2347,13321,269028
Georgia,5385975,50728,66383,3711950,34961,3703394,45645,2401381,22.6,2393438,29.5,1267677,11.9,1267003,15.6,2633475,2609000,143500,0,65929,1900580,1745182,259,652757,551297,63454,169,652682,550811,63341,169,1204223,22.6,2393438,29.5,11.3,1203662,14.8,2401381,1028156,67.8,739143,48.7,427531,303352,8155,105,1825738,120356,355052
Guam,87860,53002,67951,83164,50169,82781,64023,50793,30.6,50431,39,31736,19.1,31717,24.5,48360,38200,1300,0,142,38570,44452,0,15860,15735,141,0,15858,15718,141,0,31595,30.6,50431,39,19.1,31576,24.4,50793,12234,43.4,9998,35.5,4398,5580,20,0,22389,79447,311770
