COVID-19 Vaccinations in the United States
Date generated: Wed Mar 24 2021 15:22:26 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,529765,72417,96048,376555,51474,371781,67405,231342,31.6,228061,41.3,147214,20.1,145718,26.4,266565,250200,13000,0,2966,172589,200944,56,65140,79130,2936,8,65076,77707,2927,8,144278,31.6,228061,41.3,19.7,142791,25.9,231342,64999,71,53617,58.5,31564,21718,332,3,116888,127624,578422
Alabama,2275030,46399,59636,1509445,30785,1508377,39539,994253,20.3,993347,26,579598,11.8,579410,15.2,1110330,1095500,69200,0,28319,771918,709208,0,280192,270260,29122,24,280166,270100,29120,24,550476,20.3,993347,26,11.2,550290,14.4,994253,501603,59,319831,37.6,169672,138468,11677,14,793979,93427,267702
Arkansas,1535620,50885,66258,1012415,33548,1010912,43618,680549,22.6,679138,29.3,349951,11.6,349787,15.1,744120,750000,41500,0,18524,503758,489927,206,165442,166263,18204,42,165421,166140,18184,42,331747,22.6,679138,29.3,11,331603,14.3,680549,319124,60.9,171607,32.8,97028,70859,3686,34,485529,92679,293123
American Samoa,43210,77592,99477,27263,48956,26469,60937,17114,30.7,16595,38.2,10240,18.4,9967,22.9,30810,12400,0,0,0,6006,21257,0,2205,8032,3,0,2204,7760,3,0,10237,30.7,16595,38.2,18.4,9964,22.9,17114,2173,23,1508,15.9,588,919,1,0,3625,38291,456428
Arizona,3584605,49248,63574,2970577,40812,2960293,52502,1851810,25.4,1845834,32.7,1059558,14.6,1056706,18.7,1817205,1667800,99600,0,28429,1367648,1573464,1036,464584,567566,27042,366,464522,564810,27008,366,1032516,25.4,1845834,32.7,14.2,1029698,18.3,1851810,883553,67.5,554616,42.4,252906,293545,7914,251,1484158,113413,273920
Bureau of Prisons,95960,N/A,N/A,89232,N/A,89232,N/A,54537,N/A,54537,N/A,34522,N/A,34522,N/A,56160,38100,1700,0,341,35277,53614,0,12673,21509,340,0,12673,21509,340,0,34182,N/A,54537,N/A,0,34182,0,54537,2415,0,1578,0,658,918,2,0,4017,0,0
California,19953070,50498,65169,15349039,38846,15308820,50000,10279020,26,10244550,33.5,5203432,13.2,5197386,17,10012470,9372800,567800,0,234001,7357471,7756722,845,2374183,2597004,232117,128,2373406,2592184,231668,128,4971315,26,10244550,33.5,12.6,4965718,16.2,10279020,4330094,74.2,2671829,45.8,1350311,1286680,34751,87,7018300,120215,341772
Colorado,2789800,48445,62006,2310425,40120,2305889,51251,1451398,25.2,1447674,32.2,889795,15.5,888916,19.8,1365000,1351900,72900,0,49389,1113510,1146968,558,396161,445143,48357,134,396089,444403,48290,134,841438,25.2,1447674,32.2,14.6,840626,18.7,1451398,633346,75.2,467558,55.5,223163,236841,7474,80,1102064,130822,331168
Connecticut,1975855,55419,69625,1676905,47034,1674537,59007,1093483,30.7,1091929,38.5,608492,17.1,607787,21.4,1035255,889600,51000,0,38965,749099,888715,126,249311,320268,38896,17,249153,319750,38867,17,569596,30.7,1091929,38.5,16,568920,20,1093483,508936,80.8,347988,55.2,124222,219278,4478,10,863677,137039,313506
District of Columbia,460215,65209,79680,309362,43835,308912,53484,152058,21.5,151628,26.3,74927,10.6,74909,13,245115,202100,13000,0,3864,126401,179097,0,35057,35207,4650,13,35056,35190,4650,13,70277,21.5,151628,26.3,10,70259,12.2,152058,55595,63.7,34862,39.9,20381,14302,173,6,113788,130277,526905
