COVID-19 Vaccinations in the United States
Date generated: Sat Mar 27 2021 15:14:12 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,568125,77661,103003,389775,53281,384474,69706,239599,32.8,235889,42.8,153706,21,152100,27.6,287625,263900,16600,0,4483,177945,207291,56,67455,81839,4403,9,67384,80325,4382,9,149303,32.8,235889,42.8,20.4,147718,26.8,239599,65587,71.6,54230,59.2,31863,21895,469,3,117865,128690,620305
Alabama,2497410,50934,65465,1611404,32864,1609953,42202,1072623,21.9,1071339,28.1,611694,12.5,611485,16,1173510,1253000,70900,0,34263,814074,763067,0,292262,284238,35165,29,292236,284060,35160,29,576529,21.9,1071339,28.1,11.8,576325,15.1,1072623,520264,61.2,334530,39.4,176612,144387,13512,19,824938,97070,293869
Arkansas,1608210,53291,69390,1086176,35992,1084097,46776,730820,24.2,728834,31.4,376230,12.5,376049,16.2,764010,801700,42500,0,22299,531051,532594,232,175982,178573,21627,48,175960,178439,21602,48,354603,24.2,728834,31.4,11.8,354447,15.3,730820,327313,62.5,188850,36,104751,79960,4102,37,510629,97470,306979
American Samoa,43810,78669,100859,28503,51182,27667,63695,17548,31.5,17019,39.2,11043,19.8,10739,24.7,30810,12400,600,0,0,6124,22379,0,2282,8758,3,0,2281,8455,3,0,11040,31.5,17019,39.2,19.8,10736,24.7,17548,2200,23.2,1563,16.5,607,955,1,0,3704,39125,462765
Arizona,3940655,54139,69889,3169061,43539,3157042,55991,1983569,27.3,1976250,35,1129146,15.5,1125961,20,1975155,1859200,106300,0,36505,1454133,1677132,1291,493617,600086,35009,434,493546,597013,34968,434,1094137,27.3,1976250,35,15,1090993,19.3,1983569,913354,69.8,594556,45.4,271171,312967,10114,304,1555109,118835,301128
Bureau of Prisons,97960,N/A,N/A,98916,N/A,98916,N/A,59260,N/A,59260,N/A,39430,N/A,39430,N/A,56160,40100,1700,0,356,38569,59991,0,14429,24646,355,0,14429,24646,355,0,39075,N/A,59260,N/A,0,39075,0,59260,2557,0,1756,0,737,1017,2,0,4339,0,0
California,21520340,54465,70288,16527440,41829,16477038,53816,11059981,28,11016461,36,5665179,14.3,5657859,18.5,10739040,10187600,593700,0,303062,7851913,8371203,1262,2513300,2850817,300865,197,2512456,2844941,300265,197,5364314,28,11016461,36,13.6,5357594,17.5,11059981,4433978,75.9,2857690,48.9,1433732,1380990,42839,129,7302242,125079,368618
Colorado,3050950,52980,67811,2443350,42429,2437305,54172,1551393,26.9,1546239,34.4,927382,16.1,926406,20.6,1499550,1476400,75000,0,54523,1181127,1207048,652,409697,463930,53610,145,409614,463122,53525,145,873772,26.9,1546239,34.4,15.2,872881,19.4,1551393,642588,76.3,485939,57.7,230278,247762,7812,87,1129582,134089,362168
Connecticut,2193075,61512,77280,1774045,49759,1771509,62424,1155239,32.4,1153534,40.6,646279,18.1,645548,22.7,1147575,989400,56100,0,41250,788438,944227,130,264027,340992,41242,18,263866,340452,41212,18,605037,32.4,1153534,40.6,17,604336,21.3,1155239,516079,81.9,371799,59,135594,231329,4865,11,894622,141949,347972
District of Columbia,491335,69619,85068,327007,46335,326448,56520,163251,23.1,162696,28.2,82094,11.6,82072,14.2,263835,214300,13200,0,5508,130578,190921,0,36600,39262,6217,15,36599,39242,6216,15,75877,23.1,162696,28.2,10.8,75856,13.1,163251,56629,64.8,36469,41.8,21182,15035,245,7,116568,133460,562535
Dept of Defense,2403320,N/A,N/A,1785851,N/A,1780498,N/A,1125876,N/A,1121314,N/A,628149,N/A,627521,N/A,1290120,1061300,51900,0,18755,823563,943134,399,271455,340854,15840,0,271422,340266,15833,0,612309,N/A,1121314,N/A,0,611688,0,1125876,130138,0,77645,0,24488,52156,1001,0,211690,0,0
Delaware,543815,55847,70608,417566,42882,417077,54152,272395,28,271986,35.3,142013,14.6,141937,18.4,276315,253700,13800,0,6949,179522,231045,50,63022,71608,7365,18,63009,71546,7364,18,134648,28,271986,35.3,13.8,134573,17.5,272395,145783,77.2,88037,46.6,40844,42386,4796,11,234756,124271,287876
Florida,11974735,55754,69428,8811431,41026,8799869,51020,5546514,25.8,5536363,32.1,3071600,14.3,3070250,17.8,5996835,5602700,375200,0,200719,4230845,4367640,12227,1397237,1471084,199229,4050,1396654,1470406,199140,4050,2872371,25.8,5536363,32.1,13.4,2871110,16.6,5546514,3325548,73.9,2215633,49.3,1057949,1085261,68942,3481,5825072,129523,266263
Federated States of Micronesia,47400,45734,58633,23460,22635,23450,29007,14324,13.8,14314,17.7,9190,8.9,9190,11.4,0,46600,800,0,0,23460,0,0,9170,19,1,0,9170,19,1,0,9189,13.8,14314,17.7,8.9,9189,11.4,14324,1359,7.7,980,5.6,976,4,0,0,2312,13122,269028
Georgia,5319955,50106,65569,3530980,33256,3524450,43439,2256114,21.2,2250144,27.7,1229095,11.6,1228471,15.1,2567955,2608500,143500,0,61324,1832835,1636567,254,642166,527936,58825,168,642094,527490,58719,168,1170270,21.2,2250144,27.7,11,1169752,14.4,2256114,1010055,66.6,719932,47.5,421350,291115,7362,105,1788315,117889,350700
Guam,87860,53002,67951,81396,49102,81112,62732,49193,29.7,48929,37.8,31458,19,31440,24.3,48360,38200,1300,0,34,38113,43249,0,15730,15695,33,0,15728,15679,33,0,31425,29.7,48929,37.8,19,31407,24.3,49193,12151,43.1,9947,35.3,4380,5559,8,0,22266,79011,311770
Hawaii,889800,62845,79731,659606,46587,658121,58971,420788,29.7,418943,37.5,250357,17.7,250076,22.4,487500,382200,20100,0,7665,235328,322853,93760,94438,130123,7766,18030,94392,129922,7749,18013,242591,29.7,418943,37.5,17.1,242327,21.7,420788,160617,59.8,95487,35.6,45297,46356,2427,1407,251922,93844,331461
Iowa,1662335,52688,68459,1402543,44454,1399638,57640,896691,28.4,894575,36.8,544454,17.3,543613,22.4,809835,807300,45200,0,36074,734759,631591,119,276898,231087,36451,18,276886,230269,36440,18,508003,28.4,894575,36.8,16.1,507173,20.9,896691,427870,77.4,289733,52.4,148696,138080,2945,12,714193,129160,300628
