COVID-19 Vaccinations in the United States
Date generated: Sun Apr 18 2021 15:14:06 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,746705,102072,135380,509843,69694,500312,90708,288040,39.4,282036,51.1,231393,31.6,227820,41.3,374205,320900,51600,0,13526,228917,267328,72,99493,119155,12731,14,99321,115814,12671,14,218662,39.4,282036,51.1,29.9,215149,39,288040,69980,76.4,64314,70.2,37032,25835,1441,6,131230,143283,815287
Alabama,3664640,74740,96062,2280686,46514,2272559,59571,1476162,30.1,1468821,38.5,935377,19.1,934400,24.5,1804140,1616500,244000,0,72028,1092730,1115928,0,418862,442823,73648,44,418815,441927,73614,44,861729,30.1,1468821,38.5,17.6,860786,22.6,1476162,597949,70.4,450986,53.1,236225,191994,22735,32,1006202,118399,431217
Arkansas,2370830,78561,102295,1585770,52547,1575064,67960,999727,33.1,990315,42.7,636000,21.1,634337,27.4,1168830,1044100,157900,0,53672,746049,785671,378,287216,296230,52466,88,287143,294891,52217,86,583534,33.1,990315,42.7,19.3,582120,25.1,999727,373766,71.3,284301,54.3,163276,112451,8512,62,649019,123886,452550
American Samoa,43810,78669,100859,35972,64594,34845,80220,20248,36.4,19594,45.1,15807,28.4,15337,35.3,30810,12400,600,0,0,8019,27953,0,3533,12268,6,0,3524,11807,6,0,15801,36.4,19594,45.1,28.4,15331,35.3,20248,2357,24.9,2049,21.6,814,1234,1,0,4344,45886,462765
Arizona,5732985,78764,101676,4440592,61008,4399447,78025,2696688,37,2664340,47.3,1743376,24,1736678,30.8,2886585,2473600,372800,0,126800,1945027,2366402,2363,713877,906251,122472,776,713778,899726,122398,776,1620904,37,2664340,47.3,22.3,1614280,28.6,2696688,1003277,76.7,784844,60,373769,386916,23641,518,1835693,140276,438090
Bureau of Prisons,137790,N/A,N/A,132981,N/A,132980,N/A,77970,N/A,77969,N/A,56070,N/A,56070,N/A,78390,52800,6600,0,1736,51607,79638,0,21160,33186,1724,0,21160,33186,1724,0,54346,N/A,77969,N/A,0,54346,0,77970,2908,0,2372,0,1129,1213,30,0,5282,0,0
California,32618010,82552,106534,25569748,64714,25358010,82822,16772771,42.4,16597366,54.2,9677332,24.5,9638259,31.5,16578510,13780200,2259300,0,1060246,11407819,13099030,2653,3991740,4633558,1051506,528,3989089,4600687,1047956,527,8625826,42.4,16597366,54.2,21.8,8590303,28.1,16772771,4971400,85.2,3665763,62.8,1904094,1651785,109580,304,8598101,147275,558708
Colorado,4515250,78407,100356,3714665,64505,3678318,81755,2382398,41.4,2350728,52.2,1441796,25,1436601,31.9,2260050,1965000,290200,0,140416,1711834,1861390,1025,627285,675535,138687,289,626984,671155,138173,289,1303109,41.4,2350728,52.2,22.6,1298428,28.9,2382398,682395,81,585436,69.5,294014,278903,12395,124,1267005,150402,535991
Connecticut,3395165,95228,119639,2720972,76318,2698630,95094,1717977,48.2,1696974,59.8,1104482,31,1103289,38.9,1799265,1376100,219800,0,116330,1140902,1463533,207,445389,542527,116525,41,445166,541643,116439,41,987957,48.2,1696974,59.8,27.7,986850,34.8,1717977,554135,87.9,484007,76.8,187655,285384,10951,17,1039305,164905,538706
District of Columbia,683975,96915,118421,500879,70971,499527,86486,281190,39.8,279924,48.5,161202,22.8,160823,27.8,359775,279700,44500,0,19681,189568,291630,0,57742,79794,23643,23,57739,79434,23628,22,137559,39.8,279924,48.5,19.5,137195,23.8,281190,64967,74.4,48087,55.1,26207,20320,1551,9,139706,159951,783091
