COVID-19 Vaccinations in the United States
Date generated: Sun Feb 21 2021 15:09:10 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,299935,227403,41000,31085,148299,20272,78623,10748
Alabama,1078800,776936,22002,15846,560968,11441,214512,4375
Arkansas,691525,520904,22915,17261,364735,12086,152675,5059
American Samoa,29450,17740,52883,31855,10831,19449,6893,12378
Arizona,1688255,1425295,23194,19582,1064109,14619,356055,4892
Bureau of Prisons,49175,51072,N/A,N/A,32074,0,18879,0
California,9178020,7201713,23228,18227,5285256,13376,1864867,4720
Colorado,1348800,1167895,23422,20280,800799,13906,360392,6258
Connecticut,984275,847820,27607,23780,572145,16048,265343,7442
District of Columbia,225125,159640,31899,22620,107751,15268,51565,7306
Dept of Defense,1181300,830843,N/A,N/A,601135,0,219173,0
Delaware,204200,180600,20970,18547,133187,13678,46527,4778
Florida,5120975,4205898,23843,19583,2796210,13019,1382923,6439
Federated States of Micronesia,30000,11590,28946,11183,9468,9135,2070,1997
Georgia,2292085,1786755,21588,16829,1181826,11131,568299,5353
Guam,51300,48387,30947,29190,31950,19274,16104,9715
Hawaii,397750,312730,28092,22087,215488,15219,96971,6849
Iowa,707865,577374,22436,18300,430429,13642,141104,4472
Idaho,358200,313466,20044,17541,216285,12103,85566,4788
Indian Health Svc,732905,412073,35188,19784,295515,14188,110670,5313
Illinois,2924725,2261482,23081,17847,1697843,13399,527382,4162
Indiana,1487400,1234416,22094,18336,859278,12764,372868,5539
Kansas,645800,488738,22167,16776,345965,11875,138765,4763
Kentucky,998250,796952,22344,17838,556588,12458,236951,5304
Louisiana,1012000,877683,21769,18880,582482,12530,293295,6309
Massachusetts,1737170,1375439,25204,19956,1028490,14922,343624,4985
Maryland,1450000,1054467,23984,17442,732236,12112,320657,5304
Maine,335375,268322,24950,19961,190336,14160,75889,5646
Marshall Islands,21000,7733,35951,13238,6462,11063,1218,2085
Michigan,2279240,1884038,22822,18865,1247602,12492,617751,6186
Minnesota,1284150,1097316,22770,19457,772141,13691,321228,5696
Missouri,1275555,1042872,20783,16992,723937,11795,308971,5034
Northern Mariana Islands,29650,15525,52125,27293,9310,16367,6205,10909
Mississippi,650750,481424,21866,16176,345108,11596,135591,4556
Montana,259215,228890,24253,21416,161546,15115,66619,6233
North Carolina,2363200,2008811,22532,19153,1353909,12909,651958,6216
North Dakota,198650,188496,26067,24735,124671,16360,61624,8086
Nebraska,482975,360582,24968,18640,244045,12616,114580,5923
New Hampshire,328525,250296,24161,18408,171758,12632,78361,5763
New Jersey,1809900,1648599,20377,18561,1157271,13029,484965,5460
New Mexico,605885,578916,28895,27609,386679,18441,186104,8875
Nevada,646450,555742,20988,18043,393813,12785,157477,5113
New York State,4165325,3535997,21412,18177,2334012,11998,1117514,5745
Ohio,2504150,2066995,21423,17683,1460227,12492,602623,5155
Oklahoma,1061775,830903,26833,20998,572876,14478,251032,6344
Oregon,924575,794779,21921,18844,541691,12843,249241,5909
Pennsylvania,2989725,2231800,23354,17433,1628681,12722,596337,4658
Puerto Rico,806625,463527,25257,14514,314053,9834,147986,4634
Rhode Island,246175,190896,23238,18020,131246,12389,59553,5622
Republic of Palau,9200,6025,51377,33646,3643,20344,2382,13302
South Carolina,1066275,879776,20710,17087,625877,12156,237292,4609
South Dakota,266970,225848,30178,25529,152655,17256,73029,8255
Tennessee,1477175,1097826,21630,16076,748756,10964,344665,5047
Texas,5602100,4614697,19320,15915,3241776,11180,1367318,4716
Utah,658750,610074,20548,19029,356046,11106,146105,4557
Virginia,1948550,1671217,22829,19580,1162487,13619,477252,5591
Veterans Health,2185950,1862965,N/A,N/A,1289839,0,571860,0
Virgin Islands,26425,15826,25244,15118,11041,10547,4785,4571
Vermont,159650,132112,25585,21172,88826,14235,43084,6905
Washington,1619340,1407229,21265,18480,1001775,13155,389841,5119
Wisconsin,1301825,1188631,22359,20415,841506,14453,334625,5747
West Virginia,481225,458087,26852,25561,288262,16085,169795,9474
Wyoming,150905,129060,26074,22299,89346,15438,39323,6794
