COVID-19 Vaccinations in the United States
Date generated: Sun Mar 28 2021 15:14:22 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,570465,77981,103427,395650,54084,390157,70737,242733,33.2,238899,43.3,156698,21.4,155019,28.1,289965,263900,16600,0,4785,180913,209896,56,68448,83558,4683,9,68371,81980,4659,9,152015,33.2,238899,43.3,20.8,150360,27.3,242733,65801,71.8,54526,59.5,31956,22060,507,3,118308,129174,622860
Alabama,2535880,51719,66473,1645858,33567,1644302,43102,1098597,22.4,1097210,28.8,623385,12.7,623168,16.3,1209780,1255200,70900,0,36375,829339,780144,0,297014,289021,37320,30,296986,288837,37315,30,586065,22.4,1097210,28.8,12,585853,15.4,1098597,526160,61.9,340053,40,179289,146543,14201,20,835346,98295,298396
Arkansas,1662850,55101,71747,1114449,36929,1112195,47988,747412,24.8,745264,32.2,388657,12.9,388458,16.8,801450,802400,59000,0,23107,544655,546446,241,181869,184310,22429,49,181845,184160,22404,49,366228,24.8,745264,32.2,12.1,366054,15.8,747412,330342,63.1,197723,37.7,109333,84182,4170,38,522523,99741,317409
American Samoa,43810,78669,100859,28527,51226,27691,63750,17567,31.5,17038,39.2,11046,19.8,10742,24.7,30810,12400,600,0,0,6143,22384,0,2283,8760,3,0,2282,8457,3,0,11043,31.5,17038,39.2,19.8,10739,24.7,17567,2204,23.3,1563,16.5,607,955,1,0,3708,39168,462765
Arizona,3970345,54547,70415,3239538,44507,3226198,57218,2030110,27.9,2021745,35.9,1154039,15.9,1150645,20.4,1995045,1868900,106400,0,39238,1488506,1710433,1361,504984,610950,37647,458,504911,607670,37606,458,1116392,27.9,2021745,35.9,15.3,1113039,19.7,2030110,921012,70.4,606004,46.3,277668,317467,10551,318,1574608,120325,303396
Bureau of Prisons,97960,N/A,N/A,101156,N/A,101156,N/A,60463,N/A,60463,N/A,40468,N/A,40468,N/A,56160,40100,1700,0,359,39816,60981,0,15185,24925,358,0,15185,24925,358,0,40110,N/A,60463,N/A,0,40110,0,60463,2590,0,1823,0,787,1034,2,0,4439,0,0
California,21865730,55339,71416,16944916,42885,16890411,55166,11323197,28.7,11276158,36.8,5830902,14.8,5822966,19,10981230,10261100,623400,0,315681,8024567,8603278,1390,2571192,2945985,313507,218,2570328,2939546,312874,218,5517395,28.7,11276158,36.8,14,5510092,18,11323197,4465831,76.5,2916325,50,1465537,1406044,44605,139,7391734,126612,374534
Colorado,3060410,53144,68021,2500874,43427,2494290,55438,1591554,27.6,1585893,35.2,946188,16.4,945173,21,1508910,1476400,75100,0,56321,1209349,1234545,659,417127,473548,55366,147,417042,472705,55279,147,890822,27.6,1585893,35.2,15.5,889894,19.8,1591554,645604,76.6,495737,58.8,234419,253269,7960,89,1142343,135604,363291
Connecticut,2211275,62022,77921,1813854,50875,1811250,63825,1178160,33,1176405,41.5,664680,18.6,663930,23.4,1159275,995900,56100,0,42606,804198,966920,130,270367,351668,42627,18,270199,351116,42597,18,622053,33,1176405,41.5,17.4,621333,21.9,1178160,518586,82.3,382134,60.6,140212,236841,5070,11,907325,143964,350860
District of Columbia,491635,69661,85120,334783,47437,334221,57866,168663,23.9,168099,29.1,84545,12,84523,14.6,263835,214600,13200,0,5849,133347,195587,0,37568,40383,6579,15,37567,40363,6578,15,77966,23.9,168099,29.1,11,77945,13.5,168663,57639,66,37448,42.9,21682,15445,314,7,118860,136084,562879
Dept of Defense,2405690,N/A,N/A,1827620,N/A,1822119,N/A,1153904,N/A,1149225,N/A,642985,N/A,642324,N/A,1291290,1062500,51900,0,20104,842607,964510,399,276392,349404,17189,0,276359,348785,17180,0,625796,N/A,1149225,N/A,0,625144,0,1153904,131331,0,79624,0,24953,53649,1022,0,214898,0,0
