COVID-19 Vaccinations in the United States
Date generated: Sat Apr 10 2021 15:14:20 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,703015,96100,127459,448337,61286,440980,79951,265468,36.3,260484,47.2,189958,26,187548,34,354315,308600,40100,0,9982,201735,236563,57,81243,99402,9302,11,81142,97136,9259,11,180656,36.3,260484,47.2,24.7,178289,32.3,265468,67638,73.9,57021,62.3,33109,22830,1078,4,121863,133056,767584
Alabama,3248260,66248,85147,2021334,41225,2016772,52866,1344658,27.4,1340434,35.1,788325,16.1,787868,20.7,1565460,1463900,218900,0,59841,978464,983029,0,358812,368348,61123,42,358774,367954,61098,42,727202,27.4,1340434,35.1,14.8,726770,19.1,1344658,575436,67.7,408085,48,211196,176751,20108,30,944425,111130,382222
Arkansas,2121930,70314,91555,1405741,46582,1399334,60377,911997,30.2,906060,39.1,533220,17.7,532449,23,1028430,952600,140900,0,42700,671344,691375,322,243434,248068,41649,69,243390,247545,41446,68,491571,30.2,906060,39.1,16.3,491003,21.2,911997,360600,68.8,261117,49.8,149057,105126,6884,50,614006,117203,405040
American Samoa,43810,78669,100859,33545,60236,32483,74782,18895,33.9,18287,42.1,14737,26.5,14286,32.9,30810,12400,600,0,0,6969,26576,0,2910,11821,6,0,2908,11372,6,0,14731,33.9,18287,42.1,26.5,14280,32.9,18895,2296,24.3,1928,20.4,720,1207,1,0,4160,43942,462765
Arizona,5127405,70444,90936,3975606,54620,3944721,69961,2452911,33.7,2428590,43.1,1495431,20.5,1490814,26.4,2542605,2255000,329800,0,87185,1756235,2130202,1984,622373,788212,84198,648,622289,783742,84135,648,1411233,33.7,2428590,43.1,19.4,1406679,24.9,2452911,971554,74.2,723231,55.3,338807,366224,17759,441,1743676,133244,391814
Bureau of Prisons,123570,N/A,N/A,123092,N/A,123091,N/A,71671,N/A,71670,N/A,51946,N/A,51946,N/A,71370,48500,3700,0,1169,48216,73707,0,19869,30918,1159,0,19869,30918,1159,0,50787,N/A,71670,N/A,0,50787,0,71671,2778,0,2262,0,1083,1164,15,0,5055,0,0
California,28532520,72212,93190,21725654,54985,21599916,70547,14445185,36.6,14338722,46.8,7822226,19.8,7801270,25.5,14218620,12382600,1931300,0,664351,9972111,11087063,2129,3297727,3862676,661410,413,3296148,3845113,659597,412,7160816,36.6,14338722,46.8,18.1,7141673,23.3,14445185,4757091,81.5,3350887,57.4,1736108,1537985,76534,260,8092406,138613,488728
Colorado,4016000,69738,89260,3184749,55303,3166662,70383,2046950,35.5,2030885,45.1,1207372,21,1205144,26.8,1961700,1792200,262100,0,95978,1518869,1568985,917,547935,564388,94798,251,547761,562562,94570,251,1112574,35.5,2030885,45.1,19.3,1110574,24.7,2046950,668260,79.3,564261,67,283968,270005,10180,108,1233275,146398,476726
Connecticut,2972115,83363,104731,2340942,65659,2332013,82175,1486441,41.7,1478583,52.1,919764,25.8,918789,32.4,1547715,1232800,191600,0,79415,1006719,1254646,162,376704,463343,79691,26,376502,462630,79631,26,840073,41.7,1478583,52.1,23.6,839158,29.6,1486441,542494,86.1,456236,72.4,174806,273029,8387,14,1002415,159052,471582
District of Columbia,605765,85833,104880,434907,61623,433955,75133,236659,33.5,235808,40.8,125680,17.8,125413,21.7,321165,246400,38200,0,11656,166445,256806,0,49071,62642,13947,20,49070,62384,13939,20,111733,33.5,235808,40.8,15.8,111474,19.3,236659,62872,72,44730,51.2,24974,18683,1065,8,134422,153901,693547
Dept of Defense,3008240,N/A,N/A,2202664,N/A,2193947,N/A,1393544,N/A,1386346,N/A,779407,N/A,778180,N/A,1601340,1251500,155400,0,36814,998380,1167071,399,334289,411219,33899,0,334254,410038,33888,0,745508,N/A,1386346,N/A,0,744292,0,1393544,145279,0,94744,0,32421,60674,1649,0,245825,0,0
Delaware,720505,73992,93549,549853,56467,547816,71127,356640,36.6,355034,46.1,193963,19.9,193829,25.2,366405,310100,44000,0,16142,228892,304648,171,74320,103295,16276,72,74305,103184,16268,72,177687,36.6,355034,46.1,18.2,177561,23.1,356640,155745,82.4,115033,60.9,48082,61496,5412,43,272828,144425,381409
Florida,15556985,72433,90197,11367878,52929,11343692,65769,7045431,32.8,7024513,40.7,4252378,19.8,4249189,24.6,7769385,6764500,1023100,0,380331,5193306,5777667,16574,1825671,2044433,376854,5420,1825078,2042017,376674,5420,3875524,32.8,7024513,40.7,18,3872515,22.5,7045431,3556685,79.1,2719446,60.5,1345239,1267034,102645,4528,6554530,145742,345915
Federated States of Micronesia,63200,60979,78177,26726,25787,26712,33042,16402,15.8,16388,20.3,10358,10,10358,12.8,0,61600,1600,0,0,26726,0,0,10337,20,1,0,10337,20,1,0,10357,15.8,16388,20.3,10,10357,12.8,16402,1532,8.7,1087,6.2,1082,5,0,0,2594,14723,358704
Georgia,7067975,66570,87113,4660059,43891,4632070,57091,3055334,28.8,3028682,37.3,1587661,15,1586220,19.6,3546075,3138900,383000,0,101953,2219218,2338608,280,764970,722862,99652,177,764881,721675,99487,177,1488009,28.8,3028682,37.3,14,1486733,18.3,3055334,1089129,71.8,836328,55.1,476966,345965,13289,108,1982811,130710,465932
Guam,129900,78363,100465,99042,59747,97757,75605,63340,38.2,62084,48,35635,21.5,35608,27.5,74100,53200,2600,0,724,42174,56144,0,16695,18214,726,0,16693,18189,726,0,34909,38.2,62084,48,21.1,34882,27,63340,12890,45.7,10464,37.1,4516,5886,62,0,23461,83251,460949
Hawaii,1136660,80280,101851,816481,57666,813394,72885,502477,35.5,499422,44.8,334093,23.6,333430,29.9,613860,460100,62700,0,15238,289758,417725,93760,115771,184756,15524,18042,115709,184223,15473,18025,318569,35.5,499422,44.8,22.5,317957,28.5,502477,176815,65.9,130341,48.6,52459,72751,3722,1409,301624,112358,423419
Iowa,2186505,69301,90045,1807025,57274,1799947,74126,1124442,35.6,1118618,46.1,732901,23.2,731613,30.1,1068405,981300,136800,0,54753,892735,859418,119,358233,319910,54723,35,358218,318660,54700,35,678178,35.6,1118618,46.1,21.5,676913,27.9,1124442,451134,81.6,380430,68.8,203825,172169,4410,26,829975,150098,395423
Idaho,1149805,64340,85879,873222,48863,873186,65218,528480,29.6,528421,39.5,352163,19.7,352141,26.3,565305,513200,71300,0,23512,403520,445822,368,157702,171013,23338,110,157700,171002,23329,110,328825,29.6,528421,39.5,18.4,328812,24.6,528480,213728,73.5,183962,63.3,85396,92821,5700,45,396059,136257,395571
Indian Health Svc,1623385,77942,N/A,1069111,51330,1049897,N/A,649010,31.2,636205,N/A,425772,20.4,419432,N/A,683085,878700,61600,0,13822,599871,455418,0,225742,186371,13659,0,225625,180166,13641,0,412113,31.2,636205,N/A,19.8,405791,0,649010,138920,0,104528,0,59267,43762,1499,0,244993,0,0
Illinois,9110565,71896,92456,7017850,55382,6985254,70888,4632713,36.6,4604795,46.7,2544950,20.1,2539418,25.8,4576065,3926600,607900,0,199321,3157106,3657901,3522,1109202,1236388,198192,1168,1108707,1231964,197581,1166,2346758,36.6,4604795,46.7,18.5,2341837,23.8,4632713,1600668,78.3,1082998,53,505902,540969,35390,737,2648050,129601,445890
Indiana,4227610,62797,81863,3229355,47969,3222294,62396,1976719,29.4,1970434,38.2,1326151,19.7,1325491,25.7,2070510,1890400,266700,0,98081,1406015,1720015,5244,546707,680004,97671,1769,546666,679431,97625,1769,1228480,29.4,1970434,38.2,18.2,1227866,23.8,1976719,812639,74.8,711094,65.5,362821,334820,12233,1220,1532704,141166,389375
Kansas,2124855,72936,96014,1558508,53496,1550524,70062,1048351,36,1040258,47,609953,20.9,608839,27.5,1015755,979600,129500,0,38734,759958,759535,281,294765,275874,39194,120,294737,274811,39171,120,570759,36,1040258,47,19.6,569668,25.7,1048351,398044,83.7,299994,63.1,147834,144206,7879,75,669739,140853,446880
Kentucky,3074595,68819,88738,2471143,55312,2461067,71031,1570018,35.1,1561926,45.1,989952,22.2,988570,28.5,1513395,1369500,191700,0,77322,1139954,1253658,209,437559,477352,74888,153,437529,476040,74848,153,915064,35.1,1561926,45.1,20.5,913722,26.4,1570018,570606,76,438082,58.4,194965,223013,20006,98,971980,129500,409638
Louisiana,3159400,67962,88718,2239421,48172,2231419,62660,1346239,29,1339280,37.6,918167,19.8,917207,25.8,1563900,1398900,196600,0,74384,1009111,1154992,934,363924,482169,71619,455,363887,481298,71568,454,846548,29,1339280,37.6,18.2,845639,23.7,1346239,532109,71.8,454621,61.4,205055,235602,13876,88,993822,134115,426357
Massachusetts,5211830,75616,94081,4345857,63052,4324751,78068,2823706,41,2805943,50.7,1627036,23.6,1623572,29.3,2623530,2270900,317400,0,130643,2023274,2191872,68,742597,753636,130790,13,742395,750618,130546,13,1496246,41,2805943,50.7,21.7,1493026,27,2823706,1006980,86.1,758355,64.9,345990,367321,45035,9,1719800,147075,445710
Maryland,4384740,72527,93075,3414598,56480,3399537,72162,2230189,36.9,2217503,47.1,1342839,22.2,1340596,28.5,2213640,1900200,270900,0,130527,1548747,1733188,2136,580406,634357,127479,597,580349,632228,127422,597,1215360,36.9,2217503,47.1,20.1,1213174,25.8,2230189,758315,79,578696,60.3,277109,268026,33283,278,1287303,134178,457031
Maine,1008240,75006,92046,856186,63694,855153,78070,557286,41.5,556465,50.8,351967,26.2,351718,32.1,478140,459700,70400,0,45649,390920,419544,73,147206,158999,45740,22,147182,158787,45727,22,306227,41.5,556465,50.8,22.8,305991,27.9,557286,248948,87.3,200232,70.2,85406,99205,15612,9,431216,151163,353440
Marshall Islands,51300,87823,112594,22507,38531,22467,49311,13205,22.6,13170,28.9,9258,15.8,9251,20.3,0,40500,10800,0,0,22507,0,0,9253,2,3,0,9246,2,3,0,9255,22.6,13170,28.9,15.8,9248,20.3,13205,855,8.6,623,6.3,621,0,2,0,1478,14884,516616
Michigan,6895860,69049,87925,5223390,52303,5204109,66354,3326666,33.3,3308307,42.2,2097665,21,2096157,26.7,3429660,3013000,453200,0,144377,2373135,2705878,0,894277,1056362,146933,93,894180,1055030,146854,93,1950732,33.3,3308307,42.2,19.5,1949303,24.9,3326666,1302136,73.8,1086073,61.5,535925,516964,33110,74,2328973,131923,390612
Minnesota,3752100,66531,86524,3260958,57822,3247134,74880,2067897,36.7,2055977,47.4,1327864,23.5,1325736,30.6,1856400,1650400,245300,0,115422,1466479,1678844,213,554245,656516,117051,52,554189,654499,116996,52,1210813,36.7,2055977,47.4,21.5,1208740,27.9,2067897,773349,84,665989,72.4,279292,352349,34326,22,1388440,150855,407668
Missouri,4222465,68799,88580,3020648,49217,3012088,63188,1838162,30,1831706,38.4,1165450,19,1164274,24.4,2158065,1821100,243300,0,75858,1248038,1696424,328,462962,625534,76906,48,462897,624482,76848,47,1088544,30,1831706,38.4,17.7,1087426,22.8,1838162,746608,70.3,583568,54.9,268653,295573,19321,21,1349616,127078,397582
Northern Mariana Islands,62910,110597,141791,31654,55649,31365,70693,18433,32.4,18161,40.9,13250,23.3,13233,29.8,42510,17800,2600,0,43,4078,27533,0,1742,11464,44,0,1742,11447,44,0,13206,32.4,18161,40.9,23.2,13189,29.7,18433,2302,23.8,2153,22.3,314,1800,39,0,4418,45688,650569
Mississippi,2031745,68268,89207,1312516,44101,1308962,57472,805698,27.1,802490,35.2,541374,18.2,541018,23.8,965445,939800,126500,0,36041,649708,625956,811,259479,246616,35261,18,259449,246315,35236,18,506113,27.1,802490,35.2,17,505782,22.2,805698,330932,68,261740,53.8,138813,112970,9952,5,577374,118632,417459
Montana,805675,75383,95892,609984,57073,606091,72137,375820,35.2,372730,44.4,247965,23.2,247186,29.4,371475,379600,54600,0,15415,302399,292022,148,119987,112743,15191,44,119958,112002,15182,44,232774,35.2,372730,44.4,21.8,232004,27.6,375820,152942,74.1,123718,59.9,60276,59398,4020,24,271584,131558,390276
North Carolina,7283460,69445,88960,5402133,51507,5373369,65630,3405406,32.5,3380785,41.3,2086708,19.9,2082293,25.4,3644160,3155900,483400,0,157594,2317028,2927182,329,824710,1106562,155409,27,824392,1102844,155030,27,1931299,32.5,3380785,41.3,18.4,1927263,23.5,3405406,1289265,73.6,1074734,61.4,505661,549521,19531,21,2390630,136522,415938
North Dakota,546570,71723,93930,474619,62281,471466,81023,271992,35.7,269692,46.3,190635,25,190001,32.7,262470,254600,29500,0,16365,212335,245919,0,82822,93401,14412,0,82789,92831,14381,0,176223,35.7,269692,46.3,23.1,175620,30.2,271992,94470,78.8,80110,66.8,39531,38325,2254,0,180512,150621,456064
Nebraska,1388380,71773,95203,1107623,57259,1103500,75669,699263,36.1,695771,47.7,438594,22.7,437913,30,702780,596900,88700,0,35968,496631,572968,2056,189428,212217,36379,570,189393,211582,36368,570,402215,36.1,695771,47.7,20.8,401545,27.5,699263,252666,80.9,216289,69.2,102149,110778,2919,443,471352,150853,444341
New Hampshire,964805,70957,87356,889074,65387,885112,80140,637905,46.9,634614,57.5,301313,22.2,300726,27.2,463905,438500,62400,0,22640,412376,454031,27,149860,127796,23649,8,149742,127343,23633,8,277664,46.9,634614,57.5,20.4,277093,25.1,637905,265337,99.9,161010,63.4,77012,74250,9744,4,405925,159899,380048
New Jersey,6243165,70289,89912,5351413,60249,5321782,76643,3532817,39.8,3509883,50.5,2153059,24.2,2146133,30.9,3164265,2694700,384200,0,180153,2449435,2721350,475,930954,1041180,180909,16,930841,1034428,180849,15,1972150,39.8,3509883,50.5,22.2,1965284,28.3,3532817,1146536,77.7,839437,56.9,386251,406672,46505,9,1896731,128545,423112
New Mexico,1679965,80119,103638,1448347,69073,1436730,88633,904820,43.2,896281,55.3,587476,28,582650,35.9,863265,723300,93400,0,35709,645327,765423,1888,234893,317204,34865,514,234789,312541,34806,514,552611,43.2,896281,55.3,26.4,547844,33.8,904820,304013,80.5,221358,58.6,98455,111916,10674,313,509059,134812,444899
Nevada,2001620,64984,83837,1576189,51172,1571633,65827,982312,31.9,978331,41,603867,19.6,603358,25.3,1001520,868500,131600,0,48158,673510,854521,0,243182,313023,47659,3,243157,312552,47646,3,556208,31.9,978331,41,18.1,555712,23.3,982312,358499,72.3,281913,56.8,131214,139574,11123,2,647172,130486,403575
New York State,14162005,72799,91810,11519440,59215,11480020,74424,7199856,37,7169225,46.5,4541344,23.3,4532355,29.4,7208955,6150000,803050,0,399896,5151713,5965941,1890,1903958,2241493,395496,397,1903676,2232947,395336,396,4145848,37,7169225,46.5,21.3,4137019,26.8,7199856,2358217,71.5,1842069,55.9,881444,868838,91550,237,4120166,124999,429653
Ohio,8210715,70242,90118,6308301,53967,6275496,68878,3979349,34,3949528,43.3,2436093,20.8,2433698,26.7,4227015,3551900,431800,0,213605,2848562,3240645,5489,1068676,1157697,208179,1541,1068614,1155445,208102,1537,2227914,34,3949528,43.3,19.1,2225596,24.4,3979349,1530593,74.8,1286927,62.9,589087,647080,49777,983,2803603,137007,401243
