COVID-19 Vaccinations in the United States
Date generated: Fri Apr 09 2021 15:14:45 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,692995,94730,125642,443287,60596,436205,79085,263119,36,258305,46.8,186597,25.5,184295,33.4,347295,306300,39400,0,9360,199885,233985,57,79871,98023,8692,11,79775,95857,8652,11,177905,36,258305,46.8,24.3,175643,31.8,263119,67431,73.6,56750,62,32994,22764,988,4,121509,132669,756644
Alabama,3170520,64662,83109,1976344,40307,1972389,51703,1317995,26.9,1314344,34.5,764450,15.6,764037,20,1504620,1449300,216600,0,55245,959353,961746,0,349151,358817,56441,41,349114,358462,56420,41,708009,26.9,1314344,34.5,14.4,707617,18.5,1317995,570502,67.1,399991,47.1,206892,174001,19070,28,932505,109728,373074
Arkansas,2035230,67441,87814,1379591,45715,1373663,59270,897978,29.8,892455,38.5,518824,17.2,518140,22.4,981630,917400,136200,0,40429,660282,678574,306,237779,241603,39375,67,237737,241148,39189,66,479449,29.8,892455,38.5,15.9,478951,20.7,897978,358552,68.4,256729,49,146212,103960,6508,49,607915,116040,388490
American Samoa,43810,78669,100859,32904,59085,31879,73391,18650,33.5,18062,41.6,14338,25.7,13904,32,30810,12400,600,0,0,6903,26001,0,2890,11442,6,0,2888,11010,6,0,14332,33.5,18062,41.6,25.7,13898,32,18650,2282,24.1,1911,20.2,718,1192,1,0,4133,43657,462765
Arizona,4958025,68117,87932,3901177,53597,3871541,68663,2412162,33.1,2388938,42.4,1453432,20,1448938,25.7,2397525,2240000,320500,0,76691,1728209,2094358,1919,609839,768972,73989,632,609755,764623,73928,632,1379443,33.1,2388938,42.4,19,1375010,24.4,2412162,966492,73.9,712328,54.4,333442,361935,16519,432,1728284,132068,378871
Bureau of Prisons,123170,N/A,N/A,119665,N/A,119664,N/A,69297,N/A,69296,N/A,50667,N/A,50667,N/A,71370,48500,3300,0,932,46995,71738,0,19324,30419,924,0,19324,30419,924,0,49743,N/A,69296,N/A,0,49743,0,69297,2751,0,2224,0,1051,1160,13,0,4992,0,0
California,27861050,70512,90997,21243518,53764,21126593,69002,14123008,35.7,14023844,45.8,7599559,19.2,7580359,24.8,13761150,12218100,1881800,0,601302,9807334,10832869,2013,3233223,3767530,598422,384,3231747,3751389,596840,383,7001137,35.7,14023844,45.8,17.7,6983519,22.8,14123008,4731794,81.1,3319317,56.9,1719564,1528678,70832,243,8040918,137731,477227
Colorado,3963630,68828,88096,3129702,54347,3112993,69190,2010121,34.9,1995276,44.3,1181330,20.5,1179289,26.2,1925430,1785300,252900,0,87369,1496460,1544961,912,538725,556056,86297,252,538560,554375,86102,252,1095033,34.9,1995276,44.3,19,1093187,24.3,2010121,666822,79.2,561865,66.7,282639,269193,9924,109,1229619,145964,470510
Connecticut,2873725,80603,101264,2279517,63936,2272048,80062,1447944,40.6,1441513,50.8,887812,24.9,886876,31.3,1469325,1220300,184100,0,70273,982807,1226276,161,364774,452585,70427,26,364576,451896,70378,26,817385,40.6,1441513,50.8,22.9,816498,28.8,1447944,540577,85.8,450512,71.5,172075,270527,7896,14,995205,157908,455970
District of Columbia,595475,84375,103098,426808,60476,425914,73741,230713,32.7,229893,39.8,121675,17.2,121443,21,312975,244900,37600,0,10686,164185,251937,0,48148,60684,12826,17,48147,60461,12818,17,108849,32.7,229893,39.8,15.4,108625,18.8,230713,62589,71.7,44254,50.7,24757,18472,1017,8,133656,153024,681766
