COVID-19 Vaccinations in the United States
Date generated: Tue Mar 30 2021 15:15:07 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,570465,77981,103427,403284,55128,397513,72070,246515,33.7,242453,44,160932,22,159203,28.9,289965,263900,16600,0,5207,184195,213826,56,70237,85597,5089,9,70159,83971,5064,9,155843,33.7,242453,44,21.3,154139,27.9,246515,66080,72.1,54817,59.9,32077,22183,554,3,118775,129684,622860
Alabama,2537050,51743,66504,1666585,33990,1664902,43642,1113924,22.7,1112419,29.2,631388,12.9,631156,16.5,1210950,1255200,70900,0,36945,836716,792924,0,299819,293589,37951,29,299791,293391,37945,29,593437,22.7,1112419,29.2,12.1,593211,15.5,1113924,528699,62.2,343191,40.4,180712,148073,14386,20,840346,98883,298534
Arkansas,1662850,55101,71747,1153739,38231,1151251,49673,769106,25.5,766732,33.1,407828,13.5,407613,17.6,801450,802400,59000,0,25426,565346,562723,244,192254,190847,24677,50,192228,190692,24643,50,383151,25.5,766732,33.1,12.7,382970,16.5,769106,334880,63.9,209501,40,117181,87869,4412,39,538858,102859,317409
American Samoa,43810,78669,100859,28527,51226,27691,63750,17575,31.6,17046,39.2,11049,19.8,10745,24.7,30810,12400,600,0,0,6143,22384,0,2285,8760,4,0,2284,8457,4,0,11045,31.6,17046,39.2,19.8,10741,24.7,17575,2204,23.3,1565,16.5,609,955,1,0,3708,39168,462765
Arizona,3970345,54547,70415,3363062,46204,3346987,59360,2105116,28.9,2094426,37.1,1205521,16.6,1201776,21.3,1995045,1868900,106400,0,44723,1534427,1782491,1421,522913,638970,43152,486,522837,635347,43106,486,1162369,28.9,2094426,37.1,16,1158670,20.5,2105116,932017,71.2,626248,47.9,287112,327066,11739,331,1606150,122735,303396
Bureau of Prisons,97960,N/A,N/A,101786,N/A,101786,N/A,60990,N/A,60990,N/A,40573,N/A,40573,N/A,56160,40100,1700,0,361,40161,61264,0,15262,24951,360,0,15262,24951,360,0,40213,N/A,60990,N/A,0,40213,0,60990,2595,0,1826,0,790,1034,2,0,4447,0,0
California,21865730,55339,71416,17703550,44805,17639894,57614,11802833,29.9,11748137,38.4,6131336,15.5,6121850,20,10981230,10261100,623400,0,340130,8346037,9015933,1450,2679016,3114389,337704,227,2678095,3106531,336998,226,5793632,29.9,11748137,38.4,14.7,5784852,18.9,11802833,4516009,77.4,3002541,51.4,1521220,1433764,47411,146,7526330,128917,374534
Colorado,3060410,53144,68021,2602792,45197,2595367,57685,1664752,28.9,1658310,36.9,976137,17,975055,21.7,1508910,1476400,75100,0,58600,1258019,1285511,662,432184,486174,57632,147,432095,485277,57536,147,918505,28.9,1658310,36.9,15.9,917519,20.4,1664752,649585,77.1,508146,60.3,242139,257784,8134,89,1158915,137571,363291
Connecticut,2211275,62022,77921,1891603,53056,1888859,66560,1225480,34.4,1223595,43.1,697784,19.6,697014,24.6,1159275,995900,56100,0,45092,832374,1014001,136,281592,371022,45151,19,281424,370452,45119,19,652633,34.4,1223595,43.1,18.3,651895,23,1225480,522756,82.9,398658,63.3,148642,244545,5459,12,927803,147213,350860
District of Columbia,491635,69661,85120,353718,50120,353149,61143,181374,25.7,180795,31.3,91317,12.9,91294,15.8,263835,214600,13200,0,7257,140966,205495,0,39668,43733,7901,15,39667,43712,7900,15,83416,25.7,180795,31.3,11.8,83394,14.4,181374,59062,67.6,39406,45.1,22630,16112,657,7,122464,140210,562879
