COVID-19 Vaccinations in the United States
Date generated: Wed Apr 14 2021 15:15:13 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,717325,98056,130053,496015,67804,487142,88320,282684,38.6,277005,50.2,222407,30.4,219168,39.7,357825,308700,50800,0,12861,221747,261337,70,94422,115880,12092,13,94284,112838,12033,13,210315,38.6,277005,50.2,28.7,207135,37.6,282684,69574,76,63610,69.5,36599,25621,1384,6,130225,142186,783208
Alabama,3358930,68505,88048,2127317,43386,2120952,55597,1407463,28.7,1401530,36.7,844353,17.2,843770,22.1,1648530,1467400,243000,0,69514,1022501,1035302,0,381521,391739,71050,43,381478,391232,71017,43,773303,28.7,1401530,36.7,15.8,772753,20.3,1407463,585752,68.9,426331,50.2,221256,182859,22185,31,970442,114192,395244
Arkansas,2228060,73831,96134,1484206,49182,1475680,63671,952900,31.6,945184,40.8,576509,19.1,575365,24.8,1085760,984800,157500,0,48453,702115,733305,333,260374,268684,47375,76,260321,267822,47147,75,529134,31.6,945184,40.8,17.5,528218,22.8,952900,366578,70,271101,51.7,155494,107872,7680,55,629221,120107,425298
American Samoa,43810,78669,100859,34165,61350,33082,76161,19408,34.9,18779,43.2,14846,26.7,14395,33.1,30810,12400,600,0,0,7041,27124,0,2951,11889,6,0,2949,11440,6,0,14840,34.9,18779,43.2,26.6,14389,33.1,19408,2312,24.4,1947,20.6,733,1213,1,0,4195,44312,462765
Arizona,5292185,72708,93858,4203995,57757,4168346,73927,2579710,35.4,2551106,45.2,1618978,22.2,1613939,28.6,2664285,2258500,369400,0,115141,1839706,2247048,2100,662506,844498,111286,688,662415,839619,111217,688,1507692,35.4,2551106,45.2,20.7,1502722,26.7,2579710,987884,75.5,755493,57.7,355336,377810,21885,462,1789995,136784,404406
Bureau of Prisons,136790,N/A,N/A,127070,N/A,127069,N/A,74597,N/A,74596,N/A,53398,N/A,53398,N/A,78390,51800,6600,0,1577,49324,76169,0,20211,31621,1566,0,20211,31621,1566,0,51832,N/A,74596,N/A,0,51832,0,74597,2820,0,2298,0,1101,1179,18,0,5131,0,0
California,29738690,75265,97129,23227199,58785,23070842,75352,15451699,39.1,15319695,50,8553174,21.6,8526072,27.8,14886690,12613100,2238900,0,902511,10508305,11814105,2278,3540870,4112776,899089,439,3538926,4090451,896257,438,7654085,39.1,15319695,50,19.4,7629815,24.9,15451699,4829739,82.7,3458794,59.2,1796060,1565633,96829,272,8254217,141385,509389
Colorado,4181590,72613,92940,3464019,60152,3437230,76396,2231953,38.8,2208012,49.1,1333034,23.1,1329730,29.6,2063490,1832600,285500,0,129317,1611283,1722461,958,583283,621756,127731,264,583062,619119,127285,264,1205303,38.8,2208012,49.1,20.9,1202445,26.7,2231953,675829,80.2,574848,68.2,288185,274860,11689,114,1250192,148406,496383
Connecticut,3097585,86882,109153,2531669,71009,2515576,88644,1603712,45,1588836,56,1020173,28.6,1019086,35.9,1607385,1271100,219100,0,106381,1066920,1358188,180,411811,501650,106683,29,411597,500854,106606,29,913490,45,1588836,56,25.6,912480,32.2,1603712,547851,86.9,471073,74.7,181040,279901,10116,16,1020829,161974,491490
District of Columbia,617115,87441,106845,466580,66111,465362,80571,260750,36.9,259672,45,144190,20.4,143815,24.9,327015,246400,43700,0,16934,177695,271951,0,52835,70387,20945,23,52833,70025,20935,22,123245,36.9,259672,45,17.5,122880,21.3,260750,64096,73.4,46336,53.1,25497,19451,1379,9,137046,156906,706542
Dept of Defense,3040340,N/A,N/A,2343681,N/A,2333148,N/A,1489045,N/A,1480332,N/A,829814,N/A,828308,N/A,1601340,1274600,164400,0,49849,1060724,1232709,399,349384,433496,46934,0,349348,432038,46922,0,782880,N/A,1480332,N/A,0,781386,0,1489045,149749,0,97884,0,33214,62168,2502,0,253472,0,0
