COVID-19 Vaccinations in the United States
Date generated: Mon Feb 15 2021 15:09:25 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271550,183831,37120,25129,126381,17276,57117,7808
Alabama,965550,612254,19692,12487,474065,9669,137032,2795
Arkansas,630700,472536,20899,15658,338611,11220,130637,4329
American Samoa,29450,15382,52883,27621,10062,18068,5308,9532
Arizona,1393575,1089155,19146,14964,840252,11544,244971,3366
Bureau of Prisons,43775,47564,N/A,N/A,30193,0,17256,0
California,8059325,5820388,20397,14731,4493220,11372,1287390,3258
Colorado,1210475,926807,21020,16094,631243,10961,290991,5053
Connecticut,854725,674704,23974,18924,473106,13270,191978,5385
District of Columbia,193900,121313,27474,17189,84740,12007,36388,5156
Dept of Defense,1084925,751746,N/A,N/A,561995,0,179425,0
Delaware,188075,146437,19314,15038,114564,11765,31095,3193
Florida,4514300,3467856,21019,16146,2366552,11019,1082096,5038
Federated States of Micronesia,30000,9415,28946,9084,8495,8196,886,855
Georgia,2020275,1437718,19028,13541,1027629,9679,380394,3583
Guam,51300,38622,30947,23299,27647,16678,10688,6448
Hawaii,310600,225188,21937,15905,162945,11508,62239,4396
Iowa,597725,456512,18945,14469,335771,10642,115407,3658
Idaho,329575,242295,18442,13558,174495,9764,56629,3169
Indian Health Svc,695550,378614,N/A,N/A,273379,0,99411,0
Illinois,2566675,1854228,20255,14633,1421577,11218,400340,3159
Indiana,1388375,1058874,20623,15728,770193,11440,287278,4267
Kansas,581975,389983,19976,13386,287680,9875,99392,3412
Kentucky,892100,678768,19968,15193,488161,10927,187643,4200
Louisiana,895150,769155,19256,16545,518682,11157,248848,5353
Massachusetts,1502925,1085584,21805,15750,823429,11947,259760,3769
Maryland,1193075,850994,19734,14076,618905,10237,231127,3823
Maine,299375,193246,22271,14376,141778,10547,49721,3699
Marshall Islands,21000,5938,35951,10166,5233,8959,665,1138
Michigan,1919975,1604973,19225,16071,1096479,10979,490997,4916
Minnesota,1132350,870743,20078,15440,643627,11413,224005,3972
Missouri,1129975,848026,18411,13817,613292,9993,225467,3674
Northern Mariana Islands,29650,13754,52125,24180,8604,15126,5141,9038
Mississippi,614100,427198,20634,14354,312244,10492,114284,3840
Montana,199825,176810,18697,16543,127657,11944,48739,4560
North Carolina,2067725,1617435,19715,15422,1166560,11123,448878,4280
North Dakota,155375,148916,20389,19541,99364,13039,47552,6240
Nebraska,407500,285708,21066,14770,195639,10114,88356,4568
New Hampshire,311875,208541,22937,15337,146718,10790,61658,4535
New Jersey,1776775,1349327,20004,15191,992728,11177,350955,3951
New Mexico,429950,419882,20505,20025,286538,13665,128316,6120
Nevada,534775,428423,17362,13909,327691,10639,98469,3197
New York State,3969050,2925186,20403,15037,2007952,10322,833444,4284
Ohio,2315100,1691925,19806,14474,1241257,10619,447697,3830
Oklahoma,816650,682354,20638,17244,477378,12064,201044,5081
Oregon,841550,671315,19953,15916,475841,11282,193105,4578
Pennsylvania,2689425,1822327,21008,14235,1363250,10649,453485,3542
Puerto Rico,706800,382721,22131,11984,272485,8532,108793,3406
Rhode Island,228650,141155,21584,13325,97380,9192,43717,4127
Republic of Palau,9200,4321,51377,24130,3109,17362,1212,6768
South Carolina,891650,704186,17318,13677,525641,10209,167699,3257
South Dakota,182025,160223,20576,18111,109875,12420,50247,5680
Tennessee,1361700,967085,19939,14161,659390,9655,303722,4447
Texas,5099325,4133747,17586,14256,2970596,10245,1159996,4001
Utah,579700,510267,18082,15916,307059,9578,105704,3297
Virginia,1596425,1355231,18703,15878,1004422,11768,320109,3750
Veterans Health,2042525,1600830,N/A,N/A,1146573,0,453043,0
Virgin Islands,26425,12288,25244,11739,8730,8340,3558,3399
Vermont,138025,106787,22120,17114,73105,11716,33495,5368
Washington,1437825,1166471,18882,15318,870853,11436,281718,3700
Wisconsin,1082100,955412,18585,16409,709908,12193,234709,4031
West Virginia,395600,386583,22074,21571,247689,13821,138882,7749
Wyoming,122200,99099,21114,17123,71653,12380,27132,4688
